Angeleger Strom I,Gemessende Spannung U [mV],spezifischer Wiederstand rho,Gemessende Temperatur [degC],Messdaten
1.0,0.374478,0.0102,275.2,False
1.0,0.379698,0.0103,275.1,False
1.0,0.384485,0.0105,275.0,False
1.0,0.382136,0.0104,274.9,False
1.0,0.381282,0.0104,274.8,False
1.0,0.377895,0.0103,274.7,False
1.0,0.379036,0.0103,274.5,False
1.0,0.380069,0.0103,274.4,False
1.0,0.382739,0.0104,274.2,False
1.0,0.387587,0.0105,274.1,False
1.0,0.381172,0.0104,274.0,False
1.0,0.373572,0.0102,273.9,False
1.0,0.371439,0.0101,273.7,False
1.0,0.3702,0.0101,273.6,False
1.0,0.37069,0.0101,273.5,True
1.0,0.365178,0.0099,273.4,True
1.0,0.365255,0.0099,273.2,True
1.0,0.365269,0.0099,273.1,True
1.0,0.363188,0.0099,273.0,True
1.0,0.363703,0.0099,272.9,True
1.0,0.358453,0.0097,272.8,True
1.0,0.359827,0.0098,272.7,True
1.0,0.36496,0.0099,272.6,True
1.0,0.360871,0.0098,272.5,True
1.0,0.361656,0.0098,272.4,True
1.0,0.365454,0.0099,272.3,True
1.0,0.365533,0.0099,272.3,True
1.0,0.367,0.01,272.2,True
1.0,0.370691,0.0101,272.2,True
1.0,0.367575,0.01,272.1,True
1.0,0.373968,0.0102,272.1,True
1.0,0.367338,0.01,272.1,True
1.0,0.370929,0.0101,272.0,True
1.0,0.365667,0.0099,272.0,True
1.0,0.366322,0.01,272.0,True
1.0,0.372245,0.0101,272.0,True
1.0,0.369625,0.0101,272.0,True
1.0,0.370965,0.0101,272.0,True
1.0,0.372513,0.0101,272.0,True
1.0,0.37143,0.0101,272.0,True
1.0,0.37079,0.0101,272.1,True
1.0,0.366082,0.01,272.1,True
1.0,0.361951,0.0098,272.2,True
1.0,0.357712,0.0097,272.2,True
1.0,0.36138,0.0098,272.3,True
1.0,0.360293,0.0098,272.3,True
1.0,0.355883,0.0097,272.4,True
1.0,0.355807,0.0097,272.4,True
1.0,0.350145,0.0095,272.5,True
1.0,0.343927,0.0094,272.6,True
1.0,0.340346,0.0093,272.7,True
1.0,0.339521,0.0092,272.7,True
1.0,0.334532,0.0091,272.8,True
1.0,0.333883,0.0091,272.9,True
1.0,0.331383,0.009,273.0,True
1.0,0.33419,0.0091,273.0,True
1.0,0.337764,0.0092,273.1,True
1.0,0.347689,0.0095,273.2,True
1.0,0.352545,0.0096,273.2,True
1.0,0.354785,0.0096,273.3,True
1.0,0.354133,0.0096,273.4,True
1.0,0.347016,0.0094,273.4,True
1.0,0.34395,0.0094,273.5,True
1.0,0.349852,0.0095,273.6,True
1.0,0.347144,0.0094,273.6,True
1.0,0.348231,0.0095,273.7,True
1.0,0.351958,0.0096,273.7,True
1.0,0.348963,0.0095,273.8,True
1.0,0.345649,0.0094,273.8,True
1.0,0.344023,0.0094,273.9,True
1.0,0.347237,0.0094,273.9,True
1.0,0.342015,0.0093,273.9,True
1.0,0.332566,0.009,274.0,True
1.0,0.332805,0.009,274.0,True
1.0,0.336847,0.0092,274.1,True
1.0,0.33391,0.0091,274.1,True
1.0,0.336084,0.0091,274.2,True
1.0,0.343566,0.0093,274.2,True
1.0,0.343187,0.0093,274.3,True
1.0,0.342558,0.0093,274.3,True
1.0,0.347792,0.0095,274.4,True
1.0,0.349864,0.0095,274.4,True
1.0,0.350827,0.0095,274.5,True
1.0,0.347596,0.0095,274.6,True
1.0,0.347298,0.0094,274.6,True
1.0,0.35129,0.0096,274.7,True
1.0,0.349699,0.0095,274.7,True
1.0,0.351493,0.0096,274.8,True
1.0,0.355357,0.0097,274.9,True
1.0,0.35567,0.0097,274.9,True
1.0,0.35723,0.0097,275.0,True
1.0,0.355762,0.0097,275.1,True
1.0,0.358437,0.0097,275.1,True
1.0,0.374114,0.0102,275.2,True
1.0,0.373298,0.0102,275.2,True
1.0,0.36917,0.01,275.3,True
