Angeleger Strom I,Gemessende Spannung U [mV],spezifischer Wiederstand rho,Gemessende Temperatur [degC],Messdaten
1.0,0.442566,0.012,25.6,False
1.0,0.443236,0.0121,25.6,False
1.0,0.441794,0.012,25.6,False
1.0,0.442073,0.012,25.6,False
1.0,0.441555,0.012,25.6,False
1.0,0.441504,0.012,25.6,False
1.0,0.441552,0.012,25.6,False
1.0,0.441354,0.012,25.6,False
1.0,0.441283,0.012,25.6,False
1.0,0.441204,0.012,25.6,False
1.0,0.440992,0.012,25.6,False
1.0,0.441258,0.012,25.6,False
1.0,0.440707,0.012,25.6,False
1.0,0.441034,0.012,25.6,False
1.0,0.440875,0.012,25.6,True
1.0,0.440709,0.012,25.6,True
1.0,0.440593,0.012,25.6,True
1.0,0.440577,0.012,25.6,True
1.0,0.440377,0.012,25.6,True
1.0,0.440571,0.012,25.6,True
1.0,0.44041,0.012,25.6,True
1.0,0.440076,0.012,25.6,True
1.0,0.439981,0.012,25.6,True
1.0,0.440023,0.012,25.6,True
1.0,0.440165,0.012,25.6,True
1.0,0.440078,0.012,25.6,True
1.0,0.440156,0.012,25.6,True
1.0,0.440143,0.012,25.6,True
1.0,0.440078,0.012,25.6,True
1.0,0.440209,0.012,25.6,True
1.0,0.440349,0.012,25.6,True
1.0,0.440329,0.012,25.6,True
1.0,0.440176,0.012,25.6,True
1.0,0.440175,0.012,25.6,True
1.0,0.440067,0.012,25.6,True
1.0,0.440146,0.012,25.6,True
1.0,0.440058,0.012,25.6,True
1.0,0.440177,0.012,25.6,True
1.0,0.440039,0.012,25.6,True
1.0,0.439934,0.012,25.6,True
1.0,0.439925,0.012,25.6,True
1.0,0.439958,0.012,25.6,True
1.0,0.439904,0.012,25.6,True
1.0,0.439555,0.012,25.6,True
0.8,0.35166,0.012,25.6,True
0.8,0.351702,0.012,25.6,True
0.8,0.351799,0.012,25.6,True
0.8,0.351825,0.012,25.6,True
0.8,0.351891,0.012,25.6,True
0.8,0.351997,0.012,25.6,True
0.8,0.351852,0.012,25.6,True
0.8,0.352075,0.012,25.6,True
0.8,0.352018,0.012,25.6,True
0.8,0.351868,0.012,25.6,True
0.8,0.351823,0.012,25.6,True
0.8,0.351936,0.012,25.6,True
0.8,0.352041,0.012,25.6,True
0.8,0.352013,0.012,25.6,True
0.8,0.351956,0.012,25.6,True
0.8,0.352027,0.012,25.6,True
0.8,0.352063,0.012,25.6,True
0.8,0.352004,0.012,25.6,True
0.8,0.352008,0.012,25.6,True
0.8,0.35195,0.012,25.6,True
0.8,0.351771,0.012,25.6,True
0.8,0.351905,0.012,25.6,True
0.8,0.351896,0.012,25.6,True
0.8,0.351787,0.012,25.6,True
0.8,0.351722,0.012,25.6,True
0.8,0.351901,0.012,25.6,True
0.8,0.351944,0.012,25.6,True
0.8,0.351849,0.012,25.6,True
0.8,0.352327,0.012,25.6,True
0.8,0.352111,0.012,25.6,True
0.6,0.263759,0.012,25.6,True
0.6,0.263801,0.012,25.6,True
0.6,0.263816,0.012,25.6,True
0.6,0.263823,0.012,25.6,True
0.6,0.263749,0.012,25.6,True
0.6,0.26391,0.012,25.6,True
0.6,0.263954,0.012,25.6,True
0.6,0.263864,0.012,25.6,True
0.6,0.26394,0.012,25.6,True
0.6,0.264112,0.012,25.6,True
0.6,0.264164,0.012,25.6,True
0.6,0.264163,0.012,25.6,True
0.6,0.264182,0.012,25.6,True
0.6,0.264282,0.012,25.6,True
0.6,0.264224,0.012,25.6,True
0.6,0.264152,0.012,25.6,True
0.6,0.264266,0.012,25.6,True
0.6,0.264176,0.012,25.6,True
0.6,0.264155,0.012,25.6,True
0.6,0.264146,0.012,25.6,True
0.6,0.264018,0.012,25.6,True
0.6,0.264235,0.012,25.6,True
0.6,0.264253,0.012,25.6,True
0.6,0.26413,0.012,25.6,True
0.6,0.264244,0.012,25.6,True
0.6,0.264102,0.012,25.6,True
0.6,0.264032,0.012,25.6,True
0.6,0.264138,0.012,25.6,True
0.6,0.26413,0.012,25.6,True
0.6,0.264267,0.012,25.6,True
