T_soll [degC],T_ist_avg [degC],T_ist_std [degC],I [A],U_avg [mV],U_std [mV]
150.0,152.196667,0.428551,1.0,0.444783,0.003782
150.0,150.933333,0.325918,0.5,0.24686,0.003305
150.0,149.92,0.276164,0.25,0.16281,0.002683
