Angeleger Strom I,Gemessende Spannung U [mV],spezifischer Wiederstand rho,Gemessende Temperatur [degC],Messdaten
1.0,0.455062,0.0124,155.2,False
1.0,0.45485,0.0124,155.1,False
1.0,0.455341,0.0124,155.0,False
1.0,0.45476,0.0124,154.9,False
1.0,0.453161,0.0123,154.8,False
1.0,0.454016,0.0123,154.7,False
1.0,0.455509,0.0124,154.6,False
1.0,0.455106,0.0124,154.5,False
1.0,0.454172,0.0123,154.4,False
1.0,0.452051,0.0123,154.3,False
1.0,0.450748,0.0123,154.2,False
1.0,0.450939,0.0123,154.1,False
1.0,0.452256,0.0123,154.0,False
1.0,0.453329,0.0123,153.9,False
1.0,0.452447,0.0123,153.8,False
1.0,0.453523,0.0123,153.8,False
1.0,0.453514,0.0123,153.7,False
1.0,0.453159,0.0123,153.6,False
1.0,0.454072,0.0123,153.5,False
1.0,0.453281,0.0123,153.5,False
1.0,0.449295,0.0122,153.4,False
1.0,0.448107,0.0122,153.4,False
1.0,0.448395,0.0122,153.3,False
1.0,0.450171,0.0122,153.3,False
1.0,0.451249,0.0123,153.2,False
1.0,0.45205,0.0123,153.1,False
1.0,0.451221,0.0123,153.1,False
1.0,0.450206,0.0122,153.0,False
1.0,0.448501,0.0122,153.0,False
1.0,0.448235,0.0122,152.9,True
1.0,0.449645,0.0122,152.9,True
1.0,0.450211,0.0122,152.8,True
1.0,0.449849,0.0122,152.8,True
1.0,0.449888,0.0122,152.7,True
1.0,0.449506,0.0122,152.7,True
1.0,0.448159,0.0122,152.6,True
1.0,0.448109,0.0122,152.6,True
1.0,0.447786,0.0122,152.5,True
1.0,0.447381,0.0122,152.5,True
1.0,0.445953,0.0121,152.4,True
1.0,0.445737,0.0121,152.4,True
1.0,0.447037,0.0122,152.3,True
1.0,0.445297,0.0121,152.3,True
1.0,0.444812,0.0121,152.2,True
1.0,0.443618,0.0121,152.1,True
1.0,0.444189,0.0121,152.1,True
1.0,0.443678,0.0121,152.0,True
1.0,0.444314,0.0121,152.0,True
1.0,0.443835,0.0121,152.0,True
1.0,0.445049,0.0121,151.9,True
1.0,0.442478,0.012,151.9,True
1.0,0.441698,0.012,151.8,True
1.0,0.439153,0.0119,151.8,True
1.0,0.437756,0.0119,151.7,True
1.0,0.436699,0.0119,151.7,True
1.0,0.437377,0.0119,151.6,True
1.0,0.441481,0.012,151.6,True
1.0,0.442724,0.012,151.6,True
1.0,0.441829,0.012,151.5,True
0.5,0.245824,0.0134,151.5,True
0.5,0.246035,0.0134,151.5,True
0.5,0.246516,0.0134,151.4,True
0.5,0.245975,0.0134,151.3,True
0.5,0.244616,0.0133,151.3,True
0.5,0.242766,0.0132,151.3,True
0.5,0.243372,0.0132,151.3,True
0.5,0.24322,0.0132,151.2,True
0.5,0.242606,0.0132,151.2,True
0.5,0.243349,0.0132,151.1,True
0.5,0.241724,0.0131,151.1,True
0.5,0.241051,0.0131,151.0,True
0.5,0.243137,0.0132,151.0,True
0.5,0.244775,0.0133,151.0,True
0.5,0.245722,0.0134,151.0,True
0.5,0.247155,0.0134,150.9,True
0.5,0.245506,0.0134,150.9,True
0.5,0.247597,0.0135,150.8,True
0.5,0.250375,0.0136,150.8,True
0.5,0.250729,0.0136,150.8,True
0.5,0.24918,0.0136,150.7,True
0.5,0.249307,0.0136,150.7,True
0.5,0.249355,0.0136,150.7,True
0.5,0.251385,0.0137,150.6,True
0.5,0.252304,0.0137,150.6,True
0.5,0.249992,0.0136,150.5,True
0.5,0.250969,0.0136,150.5,True
0.5,0.248896,0.0135,150.5,True
0.5,0.250201,0.0136,150.4,True
0.5,0.252176,0.0137,150.4,True
0.25,0.155198,0.0169,150.4,True
0.25,0.156854,0.0171,150.3,True
0.25,0.158846,0.0173,150.3,True
0.25,0.16248,0.0177,150.3,True
0.25,0.162458,0.0177,150.3,True
0.25,0.163214,0.0178,150.2,True
0.25,0.162877,0.0177,150.2,True
0.25,0.161691,0.0176,150.2,True
0.25,0.162296,0.0177,150.1,True
0.25,0.161747,0.0176,150.1,True
0.25,0.164409,0.0179,150.1,True
0.25,0.163092,0.0177,150.0,True
0.25,0.162179,0.0176,150.0,True
0.25,0.16138,0.0176,150.0,True
0.25,0.163751,0.0178,149.9,True
0.25,0.163438,0.0178,149.9,True
0.25,0.164483,0.0179,149.9,True
0.25,0.162595,0.0177,149.8,True
0.25,0.164048,0.0178,149.8,True
0.25,0.164056,0.0178,149.8,True
0.25,0.165243,0.018,149.7,True
0.25,0.163989,0.0178,149.7,True
0.25,0.167037,0.0182,149.7,True
0.25,0.168777,0.0184,149.6,True
0.25,0.16708,0.0182,149.6,True
0.25,0.163612,0.0178,149.6,True
0.25,0.162337,0.0177,149.6,True
0.25,0.163665,0.0178,149.5,True
0.25,0.16178,0.0176,149.5,True
0.25,0.15968,0.0174,149.5,True
