Angeleger Strom I,Gemessende Spannung U [mV],spezifischer Wiederstand rho,Gemessende Temperatur [degC],Messdaten
1.0,0.484079,0.0132,270.3,False
1.0,0.484038,0.0132,270.3,False
1.0,0.483045,0.0131,270.3,False
1.0,0.484874,0.0132,270.3,False
1.0,0.48433,0.0132,270.2,False
1.0,0.482191,0.0131,270.2,False
1.0,0.482886,0.0131,270.2,False
1.0,0.483438,0.0131,270.2,False
1.0,0.483853,0.0132,270.1,False
1.0,0.485969,0.0132,270.1,False
1.0,0.483288,0.0131,270.1,False
1.0,0.485231,0.0132,270.0,False
1.0,0.480748,0.0131,270.0,False
1.0,0.480238,0.0131,269.9,False
1.0,0.478296,0.013,269.9,True
1.0,0.477654,0.013,269.9,True
1.0,0.476524,0.013,269.9,True
1.0,0.476403,0.013,269.9,True
1.0,0.47606,0.0129,269.8,True
1.0,0.474415,0.0129,269.8,True
1.0,0.472756,0.0129,269.8,True
1.0,0.476635,0.013,269.8,True
1.0,0.479136,0.013,269.8,True
1.0,0.481232,0.0131,269.8,True
1.0,0.479799,0.013,269.8,True
1.0,0.478946,0.013,269.8,True
1.0,0.476757,0.013,269.8,True
1.0,0.476413,0.013,269.8,True
1.0,0.473601,0.0129,269.9,True
1.0,0.472266,0.0128,269.9,True
1.0,0.471905,0.0128,269.9,True
1.0,0.471475,0.0128,270.0,True
1.0,0.473111,0.0129,270.0,True
1.0,0.475836,0.0129,270.0,True
1.0,0.47834,0.013,270.1,True
1.0,0.47888,0.013,270.1,True
1.0,0.477487,0.013,270.1,True
1.0,0.477337,0.013,270.2,True
1.0,0.475559,0.0129,270.2,True
1.0,0.475608,0.0129,270.3,True
1.0,0.475518,0.0129,270.3,True
1.0,0.480116,0.0131,270.3,True
1.0,0.482486,0.0131,270.4,True
1.0,0.480951,0.0131,270.4,True
0.8,0.404162,0.0137,270.4,True
0.8,0.400267,0.0136,270.4,True
0.8,0.396007,0.0135,270.5,True
0.8,0.394679,0.0134,270.6,True
0.8,0.395492,0.0134,270.6,True
0.8,0.400263,0.0136,270.7,True
0.8,0.400766,0.0136,270.7,True
0.8,0.400064,0.0136,270.7,True
0.8,0.399139,0.0136,270.7,True
0.8,0.40059,0.0136,270.7,True
0.8,0.401077,0.0136,270.7,True
0.8,0.397989,0.0135,270.7,True
0.8,0.400144,0.0136,270.7,True
0.8,0.40452,0.0137,270.8,True
0.8,0.406716,0.0138,270.8,True
0.8,0.405699,0.0138,270.8,True
0.8,0.405377,0.0138,270.8,True
0.8,0.408223,0.0139,270.8,True
0.8,0.407843,0.0139,270.8,True
0.8,0.406224,0.0138,270.8,True
0.8,0.410915,0.014,270.8,True
0.8,0.409136,0.0139,270.8,True
0.8,0.409979,0.0139,270.8,True
0.8,0.412057,0.014,270.8,True
0.8,0.412795,0.014,270.8,True
0.8,0.414399,0.0141,270.8,True
0.8,0.413109,0.014,270.7,True
0.8,0.411627,0.014,270.7,True
0.8,0.410587,0.014,270.7,True
0.8,0.412058,0.014,270.5,True
0.6,0.337636,0.0153,270.5,True
0.6,0.340512,0.0154,270.5,True
0.6,0.341148,0.0155,270.5,True
0.6,0.344235,0.0156,270.4,True
0.6,0.346331,0.0157,270.4,True
0.6,0.344525,0.0156,270.4,True
0.6,0.34542,0.0157,270.4,True
0.6,0.351896,0.0159,270.4,True
0.6,0.353433,0.016,270.4,True
0.6,0.354082,0.016,270.4,True
0.6,0.351677,0.0159,270.4,True
0.6,0.349947,0.0159,270.4,True
0.6,0.350707,0.0159,270.4,True
0.6,0.347108,0.0157,270.4,True
0.6,0.345285,0.0156,270.4,True
0.6,0.346705,0.0157,270.4,True
0.6,0.347436,0.0157,270.4,True
0.6,0.346322,0.0157,270.6,True
0.6,0.346306,0.0157,270.6,True
0.6,0.346362,0.0157,270.6,True
0.6,0.345357,0.0157,270.7,True
0.6,0.34164,0.0155,270.7,True
0.6,0.340534,0.0154,270.7,True
0.6,0.345606,0.0157,270.8,True
0.6,0.346868,0.0157,270.8,True
0.6,0.346546,0.0157,270.9,True
0.6,0.344393,0.0156,270.9,True
0.6,0.347894,0.0158,271.0,True
0.6,0.349565,0.0158,271.0,True
0.6,0.351851,0.0159,271.0,True
