Angeleger Strom I,Gemessende Spannung U [mV],spezifischer Wiederstand rho,Gemessende Temperatur [degC],Messdaten
1.0,0.276135,0.0075,26.2,False
1.0,0.276258,0.0075,26.2,False
1.0,0.276098,0.0075,26.2,False
1.0,0.276011,0.0075,26.2,False
1.0,0.275992,0.0075,26.2,False
1.0,0.276093,0.0075,26.2,False
1.0,0.276068,0.0075,26.2,False
1.0,0.276186,0.0075,26.2,False
1.0,0.276144,0.0075,26.2,False
1.0,0.276122,0.0075,26.2,False
1.0,0.27614,0.0075,26.2,False
1.0,0.276266,0.0075,26.2,False
1.0,0.276262,0.0075,26.2,False
1.0,0.276281,0.0075,26.2,False
1.0,0.276406,0.0075,26.2,True
1.0,0.276252,0.0075,26.2,True
1.0,0.276281,0.0075,26.2,True
1.0,0.276191,0.0075,26.2,True
1.0,0.276237,0.0075,26.2,True
1.0,0.276165,0.0075,26.2,True
1.0,0.276291,0.0075,26.2,True
1.0,0.276127,0.0075,26.2,True
1.0,0.276175,0.0075,26.2,True
1.0,0.276254,0.0075,26.2,True
1.0,0.276163,0.0075,26.2,True
1.0,0.27619,0.0075,26.2,True
1.0,0.276213,0.0075,26.2,True
1.0,0.276331,0.0075,26.2,True
1.0,0.276226,0.0075,26.2,True
1.0,0.276144,0.0075,26.2,True
1.0,0.276256,0.0075,26.2,True
1.0,0.276238,0.0075,26.2,True
1.0,0.276254,0.0075,26.2,True
1.0,0.276247,0.0075,26.2,True
1.0,0.276207,0.0075,26.2,True
1.0,0.276252,0.0075,26.2,True
1.0,0.276325,0.0075,26.2,True
1.0,0.276179,0.0075,26.2,True
1.0,0.276227,0.0075,26.2,True
1.0,0.276348,0.0075,26.2,True
1.0,0.276367,0.0075,26.2,True
1.0,0.276323,0.0075,26.2,True
1.0,0.27635,0.0075,26.2,True
1.0,0.276289,0.0075,26.2,True
0.5,0.137561,0.0075,26.2,True
0.5,0.137401,0.0075,26.2,True
0.5,0.137552,0.0075,26.2,True
0.5,0.137441,0.0075,26.2,True
0.5,0.137414,0.0075,26.2,True
0.5,0.137493,0.0075,26.2,True
0.5,0.13744,0.0075,26.2,True
0.5,0.137395,0.0075,26.2,True
0.5,0.137383,0.0075,26.2,True
0.5,0.137343,0.0075,26.2,True
0.5,0.137369,0.0075,26.2,True
0.5,0.137443,0.0075,26.2,True
0.5,0.137295,0.0075,26.2,True
0.5,0.137432,0.0075,26.2,True
0.5,0.137321,0.0075,26.2,True
0.5,0.137305,0.0075,26.2,True
0.5,0.137299,0.0075,26.2,True
0.5,0.137278,0.0075,26.2,True
0.5,0.137376,0.0075,26.2,True
0.5,0.137454,0.0075,26.2,True
0.5,0.137349,0.0075,26.2,True
0.5,0.137407,0.0075,26.2,True
0.5,0.137363,0.0075,26.2,True
0.5,0.137458,0.0075,26.2,True
0.5,0.137409,0.0075,26.2,True
0.5,0.137532,0.0075,26.2,True
0.5,0.137512,0.0075,26.2,True
0.5,0.13751,0.0075,26.2,True
0.5,0.13756,0.0075,26.2,True
0.5,0.137521,0.0075,26.2,True
0.25,0.068144,0.0074,26.2,True
0.25,0.068086,0.0074,26.2,True
0.25,0.068009,0.0074,26.2,True
0.25,0.068013,0.0074,26.2,True
0.25,0.067957,0.0074,26.2,True
0.25,0.068108,0.0074,26.2,True
0.25,0.068129,0.0074,26.2,True
0.25,0.068066,0.0074,26.2,True
0.25,0.06803,0.0074,26.2,True
0.25,0.067957,0.0074,26.2,True
0.25,0.068004,0.0074,26.2,True
0.25,0.067928,0.0074,26.2,True
0.25,0.068031,0.0074,26.2,True
0.25,0.067904,0.0074,26.2,True
0.25,0.068026,0.0074,26.2,True
0.25,0.067956,0.0074,26.2,True
0.25,0.067983,0.0074,26.2,True
0.25,0.068021,0.0074,26.2,True
0.25,0.068014,0.0074,26.2,True
0.25,0.068069,0.0074,26.2,True
0.25,0.068138,0.0074,26.2,True
0.25,0.068053,0.0074,26.2,True
0.25,0.068056,0.0074,26.2,True
0.25,0.068153,0.0074,26.2,True
0.25,0.068072,0.0074,26.2,True
0.25,0.068067,0.0074,26.2,True
0.25,0.068174,0.0074,26.2,True
0.25,0.068085,0.0074,26.2,True
0.25,0.068163,0.0074,26.2,True
0.25,0.068136,0.0074,26.2,True
1.0,0.276444,0.0075,26.2,True
1.0,0.276299,0.0075,26.2,True
1.0,0.276303,0.0075,26.2,True
1.0,0.276371,0.0075,26.2,True
1.0,0.276477,0.0075,26.2,True
1.0,0.276452,0.0075,26.2,True
1.0,0.276573,0.0075,26.2,True
1.0,0.276387,0.0075,26.2,True
1.0,0.276355,0.0075,26.2,True
1.0,0.276173,0.0075,26.2,True
1.0,0.276208,0.0075,26.2,True
1.0,0.276134,0.0075,26.2,True
1.0,0.276307,0.0075,26.2,True
1.0,0.276267,0.0075,26.2,True
1.0,0.276297,0.0075,26.2,True
1.0,0.276258,0.0075,26.2,True
1.0,0.276196,0.0075,26.2,True
1.0,0.276273,0.0075,26.2,True
1.0,0.276263,0.0075,26.2,True
1.0,0.276212,0.0075,26.2,True
1.0,0.276214,0.0075,26.2,True
1.0,0.276381,0.0075,26.2,True
