T_soll [degC],T_ist_avg [degC],T_ist_std [degC],I [A],U_avg [mV],U_std [mV]
50.0,46.703333,0.302747,1.0,0.281664,0.000452
50.0,47.65,0.425637,0.5,0.148327,0.00093
50.0,50.313333,1.006887,0.25,0.082897,0.000447
