Angeleger Strom I,Gemessende Spannung U [mV],spezifischer Wiederstand rho,Gemessende Temperatur [degC],Messdaten
1.0,0.281981,0.0077,45.3,False
1.0,0.281913,0.0077,45.4,False
1.0,0.2819,0.0077,45.5,False
1.0,0.281779,0.0077,45.5,False
1.0,0.281801,0.0077,45.6,False
1.0,0.281688,0.0077,45.6,False
1.0,0.281688,0.0077,45.7,False
1.0,0.281635,0.0077,45.8,False
1.0,0.281644,0.0077,45.8,False
1.0,0.28165,0.0077,45.9,False
1.0,0.281667,0.0077,46.0,False
1.0,0.281633,0.0077,46.0,False
1.0,0.281661,0.0077,46.1,False
1.0,0.281681,0.0077,46.1,False
1.0,0.281582,0.0077,46.1,True
1.0,0.282042,0.0077,46.2,True
1.0,0.282086,0.0077,46.2,True
1.0,0.281977,0.0077,46.3,True
1.0,0.282267,0.0077,46.3,True
1.0,0.282252,0.0077,46.4,True
1.0,0.282103,0.0077,46.4,True
1.0,0.282055,0.0077,46.5,True
1.0,0.282053,0.0077,46.5,True
1.0,0.281981,0.0077,46.5,True
1.0,0.281653,0.0077,46.6,True
1.0,0.28152,0.0077,46.6,True
1.0,0.281501,0.0077,46.6,True
1.0,0.28178,0.0077,46.7,True
1.0,0.281649,0.0077,46.7,True
1.0,0.281781,0.0077,46.8,True
1.0,0.281894,0.0077,46.8,True
1.0,0.282081,0.0077,46.8,True
1.0,0.2819,0.0077,46.9,True
1.0,0.282029,0.0077,46.9,True
1.0,0.281961,0.0077,46.9,True
1.0,0.281654,0.0077,47.0,True
1.0,0.281432,0.0077,47.0,True
1.0,0.281402,0.0077,47.0,True
1.0,0.280942,0.0076,47.0,True
1.0,0.280865,0.0076,47.0,True
1.0,0.280843,0.0076,47.1,True
1.0,0.280827,0.0076,47.1,True
1.0,0.280917,0.0076,47.1,True
1.0,0.280881,0.0076,47.1,True
0.5,0.146509,0.008,47.1,True
0.5,0.146459,0.008,47.2,True
0.5,0.146634,0.008,47.2,True
0.5,0.146731,0.008,47.2,True
0.5,0.146866,0.008,47.2,True
0.5,0.147033,0.008,47.3,True
0.5,0.147195,0.008,47.3,True
0.5,0.147628,0.008,47.3,True
0.5,0.147747,0.008,47.3,True
0.5,0.148279,0.0081,47.3,True
0.5,0.148622,0.0081,47.4,True
0.5,0.148661,0.0081,47.4,True
0.5,0.14882,0.0081,47.4,True
0.5,0.148885,0.0081,47.5,True
0.5,0.148864,0.0081,47.5,True
0.5,0.149006,0.0081,47.5,True
0.5,0.149029,0.0081,47.6,True
0.5,0.14901,0.0081,47.6,True
0.5,0.149214,0.0081,47.7,True
0.5,0.149059,0.0081,47.7,True
0.5,0.14908,0.0081,47.8,True
0.5,0.149065,0.0081,47.9,True
0.5,0.149081,0.0081,48.0,True
0.5,0.148932,0.0081,48.0,True
0.5,0.148998,0.0081,48.1,True
0.5,0.148853,0.0081,48.2,True
0.5,0.148793,0.0081,48.3,True
0.5,0.14881,0.0081,48.4,True
0.5,0.148943,0.0081,48.5,True
0.5,0.149006,0.0081,48.6,True
0.25,0.082355,0.009,48.6,True
0.25,0.082529,0.009,48.8,True
0.25,0.082723,0.009,48.8,True
0.25,0.082907,0.009,49.0,True
0.25,0.083002,0.009,49.1,True
0.25,0.083344,0.0091,49.2,True
0.25,0.083359,0.0091,49.3,True
0.25,0.083314,0.0091,49.4,True
0.25,0.083365,0.0091,49.6,True
0.25,0.083334,0.0091,49.6,True
0.25,0.083254,0.0091,49.8,True
0.25,0.083305,0.0091,49.9,True
0.25,0.083277,0.0091,50.0,True
0.25,0.083057,0.009,50.1,True
0.25,0.083356,0.0091,50.3,True
0.25,0.082928,0.009,50.4,True
0.25,0.083341,0.0091,50.5,True
0.25,0.083565,0.0091,50.6,True
0.25,0.083254,0.0091,50.8,True
0.25,0.08314,0.009,50.9,True
0.25,0.082945,0.009,51.0,True
0.25,0.082659,0.009,51.1,True
0.25,0.082529,0.009,51.2,True
0.25,0.08261,0.009,51.3,True
0.25,0.082575,0.009,51.5,True
0.25,0.08223,0.0089,51.5,True
0.25,0.082203,0.0089,51.6,True
0.25,0.082296,0.009,51.7,True
0.25,0.082116,0.0089,51.8,True
0.25,0.082037,0.0089,52.0,True
