T_soll [degC],T_ist_avg [degC],T_ist_std [degC],I [A],U_avg [mV],U_std [mV]
200.0,207.186667,0.236267,1.0,0.260423,0.010227
200.0,206.5,0.57038,0.8,0.233509,0.003664
200.0,203.986667,0.823704,0.6,0.196877,0.003273
