Angeleger Strom I,Gemessende Spannung U [mV],spezifischer Wiederstand rho,Gemessende Temperatur [degC],Messdaten
1.0,0.287508,0.0078,205.6,False
1.0,0.285024,0.0078,205.7,False
1.0,0.284459,0.0077,205.7,False
1.0,0.284479,0.0077,205.8,False
1.0,0.284543,0.0077,205.9,False
1.0,0.283957,0.0077,206.0,False
1.0,0.282252,0.0077,206.0,False
1.0,0.278859,0.0076,206.1,False
1.0,0.275978,0.0075,206.2,False
1.0,0.275408,0.0075,206.3,False
1.0,0.272282,0.0074,206.4,False
1.0,0.26895,0.0073,206.4,False
1.0,0.269092,0.0073,206.5,False
1.0,0.266383,0.0072,206.5,False
1.0,0.264351,0.0072,206.6,True
1.0,0.264144,0.0072,206.7,True
1.0,0.258536,0.007,206.8,True
1.0,0.258947,0.007,206.8,True
1.0,0.258939,0.007,206.9,True
1.0,0.257788,0.007,206.9,True
1.0,0.245795,0.0067,207.0,True
1.0,0.250707,0.0068,207.0,True
1.0,0.245272,0.0067,207.1,True
1.0,0.245342,0.0067,207.1,True
1.0,0.250221,0.0068,207.2,True
1.0,0.24586,0.0067,207.2,True
1.0,0.245411,0.0067,207.2,True
1.0,0.250867,0.0068,207.3,True
1.0,0.25689,0.007,207.3,True
1.0,0.256542,0.007,207.3,True
1.0,0.25555,0.0069,207.3,True
1.0,0.258837,0.007,207.3,True
1.0,0.261592,0.0071,207.4,True
1.0,0.260081,0.0071,207.4,True
1.0,0.261528,0.0071,207.4,True
1.0,0.263875,0.0072,207.4,True
1.0,0.268036,0.0073,207.4,True
1.0,0.274913,0.0075,207.4,True
1.0,0.276244,0.0075,207.4,True
1.0,0.275301,0.0075,207.4,True
1.0,0.275301,0.0075,207.4,True
1.0,0.274213,0.0075,207.4,True
1.0,0.274582,0.0075,207.3,True
1.0,0.277023,0.0075,207.3,True
0.8,0.231231,0.0079,207.3,True
0.8,0.234234,0.008,207.3,True
0.8,0.234503,0.008,207.2,True
0.8,0.232197,0.0079,207.2,True
0.8,0.229388,0.0078,207.2,True
0.8,0.226608,0.0077,207.1,True
0.8,0.227411,0.0077,207.0,True
0.8,0.226616,0.0077,207.0,True
0.8,0.231042,0.0079,207.0,True
0.8,0.231772,0.0079,206.9,True
0.8,0.233567,0.0079,206.9,True
0.8,0.233151,0.0079,206.8,True
0.8,0.231607,0.0079,206.7,True
0.8,0.230432,0.0078,206.7,True
0.8,0.229239,0.0078,206.6,True
0.8,0.231037,0.0079,206.5,True
0.8,0.232227,0.0079,206.5,True
0.8,0.235065,0.008,206.4,True
0.8,0.237029,0.0081,206.3,True
0.8,0.238202,0.0081,206.2,True
0.8,0.238684,0.0081,206.2,True
0.8,0.237586,0.0081,206.1,True
0.8,0.236864,0.0081,206.0,True
0.8,0.235946,0.008,206.0,True
0.8,0.236232,0.008,205.9,True
0.8,0.235242,0.008,205.8,True
0.8,0.234816,0.008,205.7,True
0.8,0.234376,0.008,205.6,True
0.8,0.236753,0.008,205.5,True
0.8,0.242223,0.0082,205.4,True
0.6,0.1988,0.009,205.4,True
0.6,0.199976,0.0091,205.3,True
0.6,0.201605,0.0091,205.2,True
0.6,0.199394,0.009,205.1,True
0.6,0.198139,0.009,205.0,True
0.6,0.195469,0.0089,204.9,True
0.6,0.196911,0.0089,204.8,True
0.6,0.198011,0.009,204.7,True
0.6,0.196609,0.0089,204.6,True
0.6,0.196509,0.0089,204.5,True
0.6,0.197056,0.0089,204.4,True
0.6,0.197168,0.0089,204.3,True
0.6,0.197403,0.0089,204.2,True
0.6,0.197587,0.009,204.1,True
0.6,0.197508,0.009,204.0,True
0.6,0.197341,0.0089,203.9,True
0.6,0.196502,0.0089,203.8,True
0.6,0.198047,0.009,203.8,True
0.6,0.197956,0.009,203.6,True
0.6,0.200942,0.0091,203.5,True
0.6,0.201687,0.0091,203.5,True
0.6,0.201507,0.0091,203.3,True
0.6,0.198614,0.009,203.3,True
0.6,0.197852,0.009,203.2,True
0.6,0.194343,0.0088,203.1,True
0.6,0.192455,0.0087,203.0,True
0.6,0.191505,0.0087,202.9,True
0.6,0.189998,0.0086,202.8,True
0.6,0.189671,0.0086,202.7,True
0.6,0.189732,0.0086,202.7,True
