Angeleger Strom I,Gemessende Spannung U [mV],spezifischer Wiederstand rho,Gemessende Temperatur [degC],Messdaten
1.0,0.463394,0.0126,236.2,False
1.0,0.462869,0.0126,236.2,False
1.0,0.459848,0.0125,236.2,False
1.0,0.455111,0.0124,236.2,False
1.0,0.45087,0.0123,236.2,False
1.0,0.447636,0.0122,236.2,False
1.0,0.448684,0.0122,236.2,False
1.0,0.446104,0.0121,236.2,False
1.0,0.436031,0.0119,236.2,False
1.0,0.436707,0.0119,236.2,False
1.0,0.439806,0.012,236.2,False
1.0,0.439811,0.012,236.1,False
1.0,0.443781,0.0121,236.1,False
1.0,0.437882,0.0119,236.1,False
1.0,0.436499,0.0119,236.1,False
1.0,0.434652,0.0118,236.0,False
1.0,0.431475,0.0117,236.0,False
1.0,0.431108,0.0117,235.9,False
1.0,0.432354,0.0118,235.9,False
1.0,0.43184,0.0117,235.9,False
1.0,0.432603,0.0118,235.8,False
1.0,0.434972,0.0118,235.8,False
1.0,0.43252,0.0118,235.8,False
1.0,0.434017,0.0118,235.7,False
1.0,0.436768,0.0119,235.6,False
1.0,0.43867,0.0119,235.6,False
1.0,0.435851,0.0119,235.6,False
1.0,0.433714,0.0118,235.5,False
1.0,0.436389,0.0119,235.5,False
1.0,0.437897,0.0119,235.4,True
1.0,0.435771,0.0118,235.4,True
1.0,0.438271,0.0119,235.4,True
1.0,0.438972,0.0119,235.3,True
1.0,0.437666,0.0119,235.3,True
1.0,0.432888,0.0118,235.3,True
1.0,0.432209,0.0118,235.2,True
1.0,0.43539,0.0118,235.2,True
1.0,0.435983,0.0119,235.1,True
1.0,0.429462,0.0117,235.1,True
1.0,0.42713,0.0116,235.1,True
1.0,0.425408,0.0116,235.0,True
1.0,0.423739,0.0115,235.0,True
1.0,0.42062,0.0114,235.0,True
1.0,0.423994,0.0115,234.9,True
1.0,0.427223,0.0116,234.9,True
1.0,0.427253,0.0116,234.9,True
1.0,0.432051,0.0117,234.8,True
1.0,0.438908,0.0119,234.8,True
1.0,0.437229,0.0119,234.8,True
1.0,0.438495,0.0119,234.8,True
1.0,0.439507,0.012,234.8,True
1.0,0.438494,0.0119,234.7,True
