Angeleger Strom I,Gemessende Spannung U [mV],spezifischer Wiederstand rho,Gemessende Temperatur [degC],Messdaten
1.0,0.294035,0.008,95.3,False
1.0,0.293464,0.008,95.3,False
1.0,0.293532,0.008,95.3,False
1.0,0.29246,0.008,95.2,False
1.0,0.292274,0.0079,95.2,False
1.0,0.293292,0.008,95.1,False
1.0,0.293969,0.008,95.1,False
1.0,0.293546,0.008,95.0,False
1.0,0.292276,0.0079,95.0,False
1.0,0.291693,0.0079,94.9,False
1.0,0.290957,0.0079,94.9,False
1.0,0.290513,0.0079,94.9,False
1.0,0.290941,0.0079,94.8,False
1.0,0.290079,0.0079,94.8,False
1.0,0.289499,0.0079,94.7,False
1.0,0.288978,0.0079,94.7,False
1.0,0.28856,0.0078,94.7,False
1.0,0.2888,0.0079,94.6,False
1.0,0.288892,0.0079,94.6,False
1.0,0.289157,0.0079,94.6,False
1.0,0.290898,0.0079,94.5,False
1.0,0.291489,0.0079,94.4,False
1.0,0.291953,0.0079,94.4,False
1.0,0.29194,0.0079,94.4,False
1.0,0.292144,0.0079,94.4,False
1.0,0.292699,0.008,94.3,False
1.0,0.293145,0.008,94.3,False
1.0,0.292081,0.0079,94.2,False
1.0,0.291254,0.0079,94.2,False
1.0,0.291491,0.0079,94.2,True
1.0,0.292038,0.0079,94.2,True
1.0,0.291424,0.0079,94.2,True
1.0,0.291428,0.0079,94.1,True
1.0,0.291685,0.0079,94.1,True
1.0,0.292557,0.008,94.1,True
1.0,0.292697,0.008,94.1,True
1.0,0.293831,0.008,94.1,True
1.0,0.293383,0.008,94.1,True
1.0,0.294039,0.008,94.1,True
1.0,0.29457,0.008,94.1,True
1.0,0.294454,0.008,94.1,True
1.0,0.294829,0.008,94.1,True
1.0,0.295281,0.008,94.1,True
1.0,0.29708,0.0081,94.1,True
1.0,0.296856,0.0081,94.1,True
1.0,0.296856,0.0081,94.1,True
1.0,0.297793,0.0081,94.1,True
1.0,0.298913,0.0081,94.1,True
1.0,0.299786,0.0082,94.2,True
1.0,0.299464,0.0081,94.2,True
1.0,0.300027,0.0082,94.2,True
1.0,0.299524,0.0081,94.3,True
1.0,0.299832,0.0082,94.3,True
1.0,0.29901,0.0081,94.3,True
1.0,0.299218,0.0081,94.4,True
1.0,0.299503,0.0081,94.5,True
1.0,0.299006,0.0081,94.5,True
1.0,0.299468,0.0081,94.6,True
1.0,0.299414,0.0081,94.6,True
0.8,0.251425,0.0085,94.7,True
0.8,0.252392,0.0086,94.7,True
0.8,0.252475,0.0086,94.8,True
0.8,0.252579,0.0086,94.9,True
0.8,0.251676,0.0086,95.0,True
0.8,0.251624,0.0086,95.0,True
0.8,0.252071,0.0086,95.1,True
0.8,0.25252,0.0086,95.2,True
0.8,0.252269,0.0086,95.2,True
0.8,0.252594,0.0086,95.3,True
0.8,0.252939,0.0086,95.4,True
0.8,0.252624,0.0086,95.5,True
0.8,0.252801,0.0086,95.6,True
0.8,0.25277,0.0086,95.6,True
0.8,0.253137,0.0086,95.7,True
0.8,0.252031,0.0086,95.8,True
0.8,0.252283,0.0086,95.9,True
0.8,0.251412,0.0085,96.0,True
0.8,0.25173,0.0086,96.1,True
0.8,0.251957,0.0086,96.1,True
0.8,0.251093,0.0085,96.2,True
0.8,0.250837,0.0085,96.3,True
0.8,0.250345,0.0085,96.4,True
0.8,0.250398,0.0085,96.5,True
0.8,0.250675,0.0085,96.5,True
0.8,0.251187,0.0085,96.6,True
0.8,0.251279,0.0085,96.7,True
0.8,0.251177,0.0085,96.8,True
0.8,0.251057,0.0085,96.8,True
0.8,0.250581,0.0085,96.9,True
0.6,0.201684,0.0091,97.0,True
0.6,0.201261,0.0091,97.0,True
0.6,0.200494,0.0091,97.1,True
0.6,0.200259,0.0091,97.1,True
0.6,0.200611,0.0091,97.2,True
0.6,0.200664,0.0091,97.3,True
0.6,0.199633,0.009,97.3,True
0.6,0.198434,0.009,97.4,True
0.6,0.19752,0.009,97.5,True
0.6,0.198,0.009,97.5,True
0.6,0.197879,0.009,97.6,True
0.6,0.198222,0.009,97.6,True
0.6,0.197954,0.009,97.7,True
0.6,0.198918,0.009,97.7,True
0.6,0.199152,0.009,97.8,True
0.6,0.198575,0.009,97.8,True
0.6,0.19844,0.009,97.9,True
0.6,0.198739,0.009,97.9,True
0.6,0.199153,0.009,98.0,True
0.6,0.200157,0.0091,98.0,True
0.6,0.200904,0.0091,98.0,True
0.6,0.200238,0.0091,98.1,True
0.6,0.200647,0.0091,98.1,True
0.6,0.200089,0.0091,98.2,True
0.6,0.199703,0.0091,98.2,True
0.6,0.200278,0.0091,98.2,True
0.6,0.200789,0.0091,98.2,True
0.6,0.200619,0.0091,98.3,True
0.6,0.201053,0.0091,98.3,True
0.6,0.200771,0.0091,98.3,True
