T_soll [degC],T_ist_avg [degC],T_ist_std [degC],I [A],U_avg [mV],U_std [mV]
50.0,60.096667,0.09481,1.0,0.458935,0.000862
50.0,59.66,0.16452,0.8,0.370888,0.000865
50.0,59.016667,0.209894,0.6,0.284552,0.000756
