Angeleger Strom I,Gemessende Spannung U [mV],spezifischer Wiederstand rho,Gemessende Temperatur [degC],Messdaten
1.0,0.459909,0.0125,60.2,False
1.0,0.459105,0.0125,60.2,False
1.0,0.458818,0.0125,60.2,False
1.0,0.458566,0.0125,60.2,False
1.0,0.459286,0.0125,60.2,False
1.0,0.459888,0.0125,60.2,False
1.0,0.460187,0.0125,60.2,False
1.0,0.460278,0.0125,60.2,False
1.0,0.458965,0.0125,60.2,False
1.0,0.458191,0.0125,60.2,False
1.0,0.45848,0.0125,60.2,False
1.0,0.45761,0.0124,60.2,False
1.0,0.457612,0.0124,60.2,False
1.0,0.457466,0.0124,60.2,False
1.0,0.457415,0.0124,60.2,True
1.0,0.456838,0.0124,60.2,True
1.0,0.457764,0.0124,60.2,True
1.0,0.45775,0.0124,60.2,True
1.0,0.458679,0.0125,60.2,True
1.0,0.45891,0.0125,60.2,True
1.0,0.45944,0.0125,60.2,True
1.0,0.460223,0.0125,60.2,True
1.0,0.460501,0.0125,60.2,True
1.0,0.460454,0.0125,60.2,True
1.0,0.460039,0.0125,60.2,True
1.0,0.459965,0.0125,60.2,True
1.0,0.459926,0.0125,60.1,True
1.0,0.459528,0.0125,60.1,True
1.0,0.458995,0.0125,60.1,True
1.0,0.459062,0.0125,60.1,True
1.0,0.458693,0.0125,60.1,True
1.0,0.459302,0.0125,60.1,True
1.0,0.459201,0.0125,60.0,True
1.0,0.458252,0.0125,60.0,True
1.0,0.457931,0.0125,60.0,True
1.0,0.458717,0.0125,60.0,True
1.0,0.458682,0.0125,60.0,True
1.0,0.45895,0.0125,60.0,True
1.0,0.458662,0.0125,60.0,True
1.0,0.458418,0.0125,60.0,True
1.0,0.458502,0.0125,60.0,True
1.0,0.459017,0.0125,60.0,True
1.0,0.459087,0.0125,60.0,True
1.0,0.459152,0.0125,59.9,True
0.8,0.372299,0.0127,59.9,True
0.8,0.371562,0.0126,59.9,True
0.8,0.371275,0.0126,59.9,True
0.8,0.371164,0.0126,59.9,True
0.8,0.371882,0.0126,59.8,True
0.8,0.371789,0.0126,59.8,True
0.8,0.371993,0.0126,59.8,True
0.8,0.371681,0.0126,59.8,True
0.8,0.371436,0.0126,59.8,True
0.8,0.371285,0.0126,59.8,True
0.8,0.371407,0.0126,59.8,True
0.8,0.371201,0.0126,59.8,True
0.8,0.371526,0.0126,59.7,True
0.8,0.371325,0.0126,59.7,True
0.8,0.371372,0.0126,59.7,True
0.8,0.372008,0.0126,59.6,True
0.8,0.370699,0.0126,59.6,True
0.8,0.370324,0.0126,59.6,True
0.8,0.370616,0.0126,59.6,True
0.8,0.370737,0.0126,59.6,True
0.8,0.370231,0.0126,59.6,True
0.8,0.370259,0.0126,59.5,True
0.8,0.369813,0.0126,59.5,True
0.8,0.369219,0.0125,59.5,True
0.8,0.36898,0.0125,59.5,True
0.8,0.369323,0.0126,59.5,True
0.8,0.370171,0.0126,59.4,True
0.8,0.369928,0.0126,59.4,True
0.8,0.370206,0.0126,59.4,True
0.8,0.370921,0.0126,59.4,True
0.6,0.284124,0.0129,59.3,True
0.6,0.283685,0.0129,59.3,True
0.6,0.283556,0.0129,59.3,True
0.6,0.283289,0.0128,59.3,True
0.6,0.283341,0.0128,59.3,True
0.6,0.283259,0.0128,59.3,True
0.6,0.283297,0.0128,59.2,True
0.6,0.283351,0.0128,59.2,True
0.6,0.28388,0.0129,59.2,True
0.6,0.284713,0.0129,59.1,True
0.6,0.284528,0.0129,59.1,True
0.6,0.284716,0.0129,59.1,True
0.6,0.284706,0.0129,59.1,True
0.6,0.28512,0.0129,59.1,True
0.6,0.285242,0.0129,59.0,True
0.6,0.285206,0.0129,59.0,True
0.6,0.285033,0.0129,59.0,True
0.6,0.284763,0.0129,59.0,True
0.6,0.2851,0.0129,59.0,True
0.6,0.285372,0.0129,58.9,True
0.6,0.285202,0.0129,58.9,True
0.6,0.285286,0.0129,58.9,True
0.6,0.28581,0.013,58.8,True
0.6,0.285054,0.0129,58.8,True
0.6,0.2843,0.0129,58.8,True
0.6,0.284362,0.0129,58.8,True
0.6,0.284715,0.0129,58.7,True
0.6,0.284904,0.0129,58.7,True
0.6,0.284957,0.0129,58.7,True
0.6,0.285674,0.0129,58.6,True
