Angeleger Strom I,Gemessende Spannung U [mV],spezifischer Wiederstand rho,Gemessende Temperatur [degC],Messdaten
1.0,0.458725,0.0125,239.4,False
1.0,0.45597,0.0124,239.3,False
1.0,0.451808,0.0123,239.2,False
1.0,0.44561,0.0121,239.1,False
1.0,0.444306,0.0121,239.0,False
1.0,0.44341,0.0121,238.8,False
1.0,0.441099,0.012,238.7,False
1.0,0.437578,0.0119,238.5,False
1.0,0.435435,0.0118,238.5,False
1.0,0.433194,0.0118,238.3,False
1.0,0.434619,0.0118,238.2,False
1.0,0.43427,0.0118,238.1,False
1.0,0.436834,0.0119,237.9,False
1.0,0.434746,0.0118,237.8,False
1.0,0.433179,0.0118,237.6,True
1.0,0.432853,0.0118,237.5,True
1.0,0.433058,0.0118,237.4,True
1.0,0.434819,0.0118,237.2,True
1.0,0.434032,0.0118,237.1,True
1.0,0.434495,0.0118,237.0,True
1.0,0.433575,0.0118,236.9,True
1.0,0.433221,0.0118,236.8,True
1.0,0.433716,0.0118,236.6,True
1.0,0.437287,0.0119,236.6,True
1.0,0.440003,0.012,236.5,True
1.0,0.440565,0.012,236.3,True
1.0,0.441314,0.012,236.2,True
1.0,0.447114,0.0122,236.1,True
1.0,0.448892,0.0122,236.0,True
1.0,0.450309,0.0122,236.0,True
1.0,0.45008,0.0122,235.9,True
1.0,0.447028,0.0122,235.8,True
1.0,0.446004,0.0121,235.8,True
1.0,0.445433,0.0121,235.7,True
1.0,0.4461,0.0121,235.7,True
1.0,0.446645,0.0121,235.6,True
1.0,0.448254,0.0122,235.5,True
1.0,0.447769,0.0122,235.5,True
1.0,0.448316,0.0122,235.5,True
1.0,0.44938,0.0122,235.4,True
1.0,0.447092,0.0122,235.4,True
1.0,0.451417,0.0123,235.4,True
1.0,0.455527,0.0124,235.4,True
1.0,0.45995,0.0125,235.4,True
0.8,0.398861,0.0136,235.3,True
0.8,0.404002,0.0137,235.3,True
0.8,0.401849,0.0137,235.3,True
0.8,0.399284,0.0136,235.3,True
0.8,0.401046,0.0136,235.3,True
0.8,0.401761,0.0137,235.4,True
0.8,0.397735,0.0135,235.4,True
0.8,0.395439,0.0134,235.5,True
0.8,0.401484,0.0136,235.5,True
0.8,0.404392,0.0137,235.6,True
0.8,0.3953,0.0134,235.7,True
0.8,0.390511,0.0133,235.7,True
0.8,0.388623,0.0132,235.8,True
0.8,0.394471,0.0134,235.9,True
0.8,0.401808,0.0137,236.0,True
0.8,0.404965,0.0138,236.2,True
0.8,0.398252,0.0135,236.2,True
0.8,0.400426,0.0136,236.4,True
0.8,0.407371,0.0138,236.5,True
0.8,0.412197,0.014,236.6,True
0.8,0.408687,0.0139,236.8,True
0.8,0.404601,0.0138,237.0,True
0.8,0.401852,0.0137,237.1,True
0.8,0.401509,0.0136,237.3,True
0.8,0.405201,0.0138,237.4,True
0.8,0.404948,0.0138,237.6,True
0.8,0.409166,0.0139,237.8,True
0.8,0.405603,0.0138,238.0,True
0.8,0.406935,0.0138,238.1,True
0.8,0.407777,0.0139,238.3,True
0.6,0.343897,0.0156,238.4,True
0.6,0.340673,0.0154,238.6,True
0.6,0.342808,0.0155,238.8,True
0.6,0.340856,0.0154,239.0,True
0.6,0.342519,0.0155,239.2,True
0.6,0.341374,0.0155,239.4,True
0.6,0.340956,0.0155,239.5,True
0.6,0.33607,0.0152,239.8,True
0.6,0.337449,0.0153,239.9,True
0.6,0.336398,0.0152,240.1,True
0.6,0.334698,0.0152,240.3,True
0.6,0.332374,0.0151,240.4,True
0.6,0.332906,0.0151,240.6,True
0.6,0.335379,0.0152,240.8,True
0.6,0.335043,0.0152,241.0,True
0.6,0.33179,0.015,241.1,True
0.6,0.332068,0.015,241.3,True
0.6,0.331091,0.015,241.5,True
0.6,0.327623,0.0148,241.6,True
0.6,0.332034,0.015,241.8,True
0.6,0.336992,0.0153,241.9,True
0.6,0.331218,0.015,242.0,True
0.6,0.330817,0.015,242.2,True
0.6,0.333388,0.0151,242.3,True
0.6,0.337191,0.0153,242.4,True
0.6,0.339291,0.0154,242.5,True
0.6,0.337766,0.0153,242.6,True
0.6,0.337617,0.0153,242.7,True
0.6,0.335865,0.0152,242.8,True
0.6,0.335518,0.0152,242.9,True
