T_soll [degC],T_ist_avg [degC],T_ist_std [degC],I [A],U_avg [mV],U_std [mV]
150.0,154.94,0.406284,1.0,0.318711,0.002316
150.0,153.886667,0.199555,0.5,0.202451,0.003409
150.0,153.74,0.162481,0.25,0.150974,0.004818
