T_soll [degC],T_ist_avg [degC],T_ist_std [degC],I [A],U_avg [mV],U_std [mV]
200.0,194.34,0.313688,1.0,0.327691,0.003331
200.0,193.526667,0.173077,0.5,0.214193,0.003939
200.0,193.2,0.0,0.25,0.148827,0.001894
