Angeleger Strom I,Gemessende Spannung U [mV],spezifischer Wiederstand rho,Gemessende Temperatur [degC],Messdaten
1.0,0.341384,0.0093,198.0,False
1.0,0.340441,0.0093,198.0,False
1.0,0.344248,0.0094,198.0,False
1.0,0.33752,0.0092,198.0,False
1.0,0.33358,0.0091,198.0,False
1.0,0.33296,0.0091,198.1,False
1.0,0.336252,0.0091,198.1,False
1.0,0.337854,0.0092,198.0,False
1.0,0.338979,0.0092,198.0,False
1.0,0.33729,0.0092,198.0,False
1.0,0.341274,0.0093,198.0,False
1.0,0.340337,0.0093,198.0,False
1.0,0.340299,0.0093,198.0,False
1.0,0.335834,0.0091,197.9,False
1.0,0.337146,0.0092,197.9,False
1.0,0.340319,0.0093,197.9,False
1.0,0.34706,0.0094,197.9,False
1.0,0.349584,0.0095,197.8,False
1.0,0.345069,0.0094,197.8,False
1.0,0.346539,0.0094,197.7,False
1.0,0.346817,0.0094,197.7,False
1.0,0.345819,0.0094,197.6,False
1.0,0.344889,0.0094,197.6,False
1.0,0.341706,0.0093,197.6,False
1.0,0.338442,0.0092,197.5,False
1.0,0.337794,0.0092,197.4,False
1.0,0.347583,0.0095,197.4,False
1.0,0.348709,0.0095,197.3,False
1.0,0.347676,0.0095,197.3,False
1.0,0.348424,0.0095,197.2,False
1.0,0.344382,0.0094,197.1,False
1.0,0.346313,0.0094,197.1,False
1.0,0.345525,0.0094,197.0,False
1.0,0.351122,0.0095,196.9,False
1.0,0.351076,0.0095,196.8,False
1.0,0.34889,0.0095,196.8,False
1.0,0.35447,0.0096,196.7,False
1.0,0.345707,0.0094,196.7,False
1.0,0.336875,0.0092,196.6,False
1.0,0.332027,0.009,196.5,False
1.0,0.33494,0.0091,196.4,False
1.0,0.335913,0.0091,196.4,False
1.0,0.335201,0.0091,196.3,False
1.0,0.336695,0.0092,196.2,False
1.0,0.335663,0.0091,196.1,False
1.0,0.33449,0.0091,196.0,False
1.0,0.331519,0.009,195.9,False
1.0,0.333677,0.0091,195.9,False
1.0,0.334674,0.0091,195.8,False
1.0,0.335333,0.0091,195.7,False
1.0,0.335365,0.0091,195.6,False
1.0,0.339765,0.0092,195.5,False
1.0,0.342217,0.0093,195.5,False
1.0,0.344632,0.0094,195.4,False
1.0,0.340831,0.0093,195.3,False
1.0,0.337737,0.0092,195.2,False
1.0,0.338797,0.0092,195.1,False
1.0,0.338185,0.0092,195.1,False
1.0,0.337561,0.0092,194.9,False
1.0,0.333654,0.0091,194.9,True
1.0,0.333856,0.0091,194.8,True
1.0,0.33083,0.009,194.7,True
1.0,0.330386,0.009,194.6,True
1.0,0.326186,0.0089,194.5,True
1.0,0.326568,0.0089,194.5,True
1.0,0.323632,0.0088,194.4,True
1.0,0.326408,0.0089,194.3,True
1.0,0.328595,0.0089,194.3,True
1.0,0.330183,0.009,194.2,True
1.0,0.327034,0.0089,194.1,True
1.0,0.326278,0.0089,194.0,True
1.0,0.324181,0.0088,194.0,True
1.0,0.322829,0.0088,193.9,True
1.0,0.324738,0.0088,193.9,True
0.5,0.210178,0.0114,193.8,True
0.5,0.213802,0.0116,193.8,True
0.5,0.214238,0.0117,193.7,True
0.5,0.216026,0.0117,193.7,True
0.5,0.21791,0.0119,193.7,True
0.5,0.218896,0.0119,193.6,True
0.5,0.221794,0.0121,193.5,True
0.5,0.218416,0.0119,193.5,True
0.5,0.214678,0.0117,193.5,True
0.5,0.215513,0.0117,193.4,True
0.5,0.212122,0.0115,193.4,True
0.5,0.213439,0.0116,193.4,True
0.5,0.209687,0.0114,193.3,True
0.5,0.208099,0.0113,193.3,True
0.5,0.208091,0.0113,193.3,True
0.25,0.15176,0.0165,193.2,True
0.25,0.151723,0.0165,193.2,True
0.25,0.147795,0.0161,193.2,True
0.25,0.146468,0.0159,193.2,True
0.25,0.144785,0.0157,193.2,True
0.25,0.146157,0.0159,193.2,True
0.25,0.147773,0.0161,193.2,True
0.25,0.149805,0.0163,193.2,True
0.25,0.149234,0.0162,193.2,True
0.25,0.150299,0.0163,193.2,True
0.25,0.14995,0.0163,193.2,True
0.25,0.149438,0.0163,193.2,True
0.25,0.149371,0.0162,193.2,True
0.25,0.148491,0.0162,193.2,True
0.25,0.149356,0.0162,193.2,True
