Angeleger Strom I,Gemessende Spannung U [mV],spezifischer Wiederstand rho,Gemessende Temperatur [degC],Messdaten
1.0,0.380991,0.0104,195.5,False
1.0,0.379667,0.0103,195.5,False
1.0,0.376991,0.0103,195.5,False
1.0,0.377076,0.0103,195.5,False
1.0,0.372176,0.0101,195.5,False
1.0,0.368245,0.01,195.6,False
1.0,0.364079,0.0099,195.6,False
1.0,0.364619,0.0099,195.6,False
1.0,0.368634,0.01,195.6,False
1.0,0.371069,0.0101,195.6,False
1.0,0.371064,0.0101,195.6,False
1.0,0.369181,0.01,195.6,False
1.0,0.367926,0.01,195.5,False
1.0,0.363408,0.0099,195.5,False
1.0,0.36335,0.0099,195.5,False
1.0,0.360837,0.0098,195.5,False
1.0,0.36052,0.0098,195.5,False
1.0,0.359929,0.0098,195.4,False
1.0,0.356007,0.0097,195.4,False
1.0,0.35685,0.0097,195.4,False
1.0,0.355776,0.0097,195.3,False
1.0,0.355567,0.0097,195.2,False
1.0,0.362259,0.0099,195.2,False
1.0,0.36491,0.0099,195.2,False
1.0,0.36554,0.0099,195.1,False
1.0,0.362945,0.0099,195.1,False
1.0,0.359365,0.0098,195.0,False
1.0,0.358077,0.0097,194.9,False
1.0,0.356602,0.0097,194.9,False
1.0,0.358451,0.0097,194.8,True
1.0,0.3596,0.0098,194.8,True
1.0,0.361232,0.0098,194.7,True
1.0,0.361723,0.0098,194.7,True
1.0,0.364237,0.0099,194.6,True
1.0,0.362607,0.0099,194.5,True
1.0,0.364004,0.0099,194.5,True
1.0,0.365497,0.0099,194.4,True
1.0,0.365882,0.0099,194.3,True
1.0,0.363948,0.0099,194.3,True
1.0,0.366091,0.01,194.2,True
1.0,0.363455,0.0099,194.1,True
1.0,0.364492,0.0099,194.1,True
1.0,0.36516,0.0099,194.0,True
1.0,0.368187,0.01,193.9,True
1.0,0.369738,0.0101,193.8,True
1.0,0.367625,0.01,193.8,True
1.0,0.366673,0.01,193.7,True
1.0,0.367574,0.01,193.6,True
1.0,0.365683,0.0099,193.5,True
1.0,0.367409,0.01,193.5,True
1.0,0.368701,0.01,193.4,True
1.0,0.36848,0.01,193.4,True
1.0,0.370402,0.0101,193.3,True
1.0,0.370909,0.0101,193.2,True
1.0,0.372661,0.0101,193.2,True
1.0,0.371156,0.0101,193.1,True
1.0,0.370634,0.0101,193.0,True
1.0,0.3705,0.0101,193.0,True
1.0,0.369655,0.0101,193.0,True
0.5,0.188553,0.0103,192.9,True
0.5,0.188148,0.0102,192.8,True
0.5,0.189126,0.0103,192.8,True
0.5,0.193304,0.0105,192.8,True
0.5,0.193626,0.0105,192.7,True
0.5,0.19143,0.0104,192.7,True
0.5,0.196007,0.0107,192.6,True
0.5,0.195086,0.0106,192.6,True
0.5,0.19543,0.0106,192.6,True
0.5,0.195924,0.0107,192.5,True
0.5,0.196504,0.0107,192.5,True
0.5,0.198842,0.0108,192.5,True
0.5,0.200567,0.0109,192.5,True
0.5,0.198576,0.0108,192.4,True
0.5,0.200411,0.0109,192.4,True
0.5,0.202088,0.011,192.4,True
0.5,0.199191,0.0108,192.4,True
0.5,0.195227,0.0106,192.4,True
0.5,0.194937,0.0106,192.4,True
0.5,0.194449,0.0106,192.4,True
0.5,0.194642,0.0106,192.4,True
0.5,0.19315,0.0105,192.4,True
0.5,0.195053,0.0106,192.5,True
0.5,0.196011,0.0107,192.5,True
0.5,0.19782,0.0108,192.6,True
0.5,0.198596,0.0108,192.6,True
0.5,0.198907,0.0108,192.7,True
0.5,0.202797,0.011,192.7,True
0.5,0.202383,0.011,192.8,True
0.5,0.203574,0.0111,192.8,True
0.25,0.110382,0.012,192.8,True
0.25,0.10592,0.0115,192.9,True
0.25,0.105512,0.0115,193.0,True
0.25,0.101941,0.0111,193.0,True
0.25,0.100854,0.011,193.1,True
0.25,0.10079,0.011,193.2,True
0.25,0.106091,0.0115,193.3,True
0.25,0.105851,0.0115,193.4,True
0.25,0.107713,0.0117,193.5,True
0.25,0.108341,0.0118,193.6,True
0.25,0.108039,0.0118,193.6,True
0.25,0.110035,0.012,193.7,True
0.25,0.111586,0.0121,193.8,True
0.25,0.113149,0.0123,193.9,True
0.25,0.111816,0.0122,194.0,True
0.25,0.111764,0.0122,194.1,True
0.25,0.111182,0.0121,194.2,True
0.25,0.112064,0.0122,194.3,True
0.25,0.110228,0.012,194.3,True
0.25,0.110186,0.012,194.4,True
0.25,0.10586,0.0115,194.5,True
0.25,0.104047,0.0113,194.6,True
0.25,0.105875,0.0115,194.7,True
0.25,0.106043,0.0115,194.8,True
0.25,0.104437,0.0114,194.8,True
0.25,0.099575,0.0108,195.0,True
0.25,0.098898,0.0108,195.0,True
0.25,0.094374,0.0103,195.1,True
0.25,0.093659,0.0102,195.2,True
0.25,0.096309,0.0105,195.3,True
