T_soll [degC],T_ist_avg [degC],T_ist_std [degC],I [A],U_avg [mV],U_std [mV]
200.0,193.88,0.583895,1.0,0.366412,0.003539
200.0,192.576667,0.156383,0.5,0.196345,0.003984
200.0,194.036667,0.746763,0.25,0.105751,0.005305
