T_soll [degC],T_ist_avg [degC],T_ist_std [degC],I [A],U_avg [mV],U_std [mV]
250.0,232.82,0.688186,1.0,0.414751,0.004886
250.0,235.42,0.777346,0.5,0.248355,0.004334
250.0,237.66,0.552328,0.25,0.165106,0.009255
