Angeleger Strom I,Gemessende Spannung U [mV],spezifischer Wiederstand rho,Gemessende Temperatur [degC],Messdaten
1.0,0.468942,0.0128,193.9,False
1.0,0.47106,0.0128,193.8,False
1.0,0.474863,0.0129,193.8,False
1.0,0.472898,0.0129,193.7,False
1.0,0.474295,0.0129,193.6,False
1.0,0.474647,0.0129,193.5,False
1.0,0.475608,0.0129,193.5,False
1.0,0.477916,0.013,193.4,False
1.0,0.479638,0.013,193.3,False
1.0,0.479315,0.013,193.2,False
1.0,0.479071,0.013,193.1,False
1.0,0.477224,0.013,193.1,False
1.0,0.476103,0.0129,192.9,False
1.0,0.476357,0.013,192.9,False
1.0,0.477413,0.013,192.7,True
1.0,0.477992,0.013,192.7,True
1.0,0.475231,0.0129,192.6,True
1.0,0.476071,0.0129,192.5,True
1.0,0.475045,0.0129,192.4,True
1.0,0.472541,0.0128,192.3,True
1.0,0.472238,0.0128,192.3,True
1.0,0.469774,0.0128,192.2,True
1.0,0.469206,0.0128,192.1,True
1.0,0.467268,0.0127,192.0,True
1.0,0.464453,0.0126,191.9,True
1.0,0.465088,0.0126,191.8,True
1.0,0.464631,0.0126,191.8,True
1.0,0.46531,0.0127,191.6,True
1.0,0.468165,0.0127,191.6,True
1.0,0.468387,0.0127,191.5,True
1.0,0.46769,0.0127,191.4,True
1.0,0.470392,0.0128,191.3,True
1.0,0.472192,0.0128,191.2,True
1.0,0.477844,0.013,191.2,True
1.0,0.477533,0.013,191.1,True
1.0,0.477353,0.013,191.0,True
1.0,0.474111,0.0129,191.0,True
1.0,0.473572,0.0129,191.0,True
1.0,0.476323,0.013,190.9,True
1.0,0.475764,0.0129,190.9,True
1.0,0.476091,0.0129,190.9,True
1.0,0.477169,0.013,190.8,True
1.0,0.477519,0.013,190.8,True
1.0,0.474472,0.0129,190.8,True
0.8,0.397409,0.0135,190.8,True
0.8,0.394558,0.0134,190.8,True
0.8,0.395058,0.0134,190.7,True
0.8,0.39744,0.0135,190.7,True
0.8,0.399104,0.0136,190.7,True
0.8,0.398562,0.0135,190.7,True
0.8,0.397979,0.0135,190.7,True
0.8,0.395593,0.0134,190.7,True
0.8,0.394182,0.0134,190.7,True
0.8,0.394709,0.0134,190.8,True
0.8,0.396494,0.0135,190.8,True
0.8,0.394594,0.0134,190.8,True
0.8,0.391657,0.0133,190.9,True
0.8,0.389284,0.0132,190.9,True
0.8,0.388401,0.0132,191.0,True
0.8,0.387723,0.0132,191.0,True
0.8,0.38302,0.013,191.1,True
0.8,0.380483,0.0129,191.2,True
0.8,0.382442,0.013,191.2,True
0.8,0.382879,0.013,191.3,True
0.8,0.381073,0.013,191.4,True
0.8,0.381845,0.013,191.5,True
0.8,0.380625,0.0129,191.6,True
0.8,0.378501,0.0129,191.7,True
0.8,0.378763,0.0129,191.8,True
0.8,0.380678,0.0129,191.9,True
0.8,0.378992,0.0129,192.1,True
0.8,0.380057,0.0129,192.2,True
0.8,0.38123,0.013,192.3,True
0.8,0.384672,0.0131,192.4,True
0.6,0.304471,0.0138,192.5,True
0.6,0.307285,0.0139,192.6,True
0.6,0.30945,0.014,192.7,True
0.6,0.311371,0.0141,192.9,True
0.6,0.313566,0.0142,193.0,True
0.6,0.311713,0.0141,193.1,True
0.6,0.307171,0.0139,193.2,True
0.6,0.305064,0.0138,193.4,True
0.6,0.30059,0.0136,193.5,True
0.6,0.298005,0.0135,193.7,True
0.6,0.296404,0.0134,193.8,True
0.6,0.29976,0.0136,193.9,True
0.6,0.304053,0.0138,194.1,True
0.6,0.305584,0.0138,194.2,True
0.6,0.30454,0.0138,194.3,True
0.6,0.303907,0.0138,194.4,True
0.6,0.302711,0.0137,194.6,True
0.6,0.306271,0.0139,194.7,True
0.6,0.312191,0.0141,194.8,True
0.6,0.313956,0.0142,194.9,True
0.6,0.310773,0.0141,195.0,True
0.6,0.312005,0.0141,195.1,True
0.6,0.310399,0.0141,195.3,True
0.6,0.306597,0.0139,195.4,True
0.6,0.306445,0.0139,195.5,True
0.6,0.307375,0.0139,195.6,True
0.6,0.31003,0.0141,195.7,True
0.6,0.309073,0.014,195.8,True
0.6,0.306084,0.0139,195.8,True
0.6,0.308784,0.014,195.9,True
