Angeleger Strom I,Gemessende Spannung U [mV],spezifischer Wiederstand rho,Gemessende Temperatur [degC],Messdaten
1.0,0.465581,0.0127,243.7,False
1.0,0.462663,0.0126,243.7,False
1.0,0.461111,0.0125,243.7,False
1.0,0.456946,0.0124,243.7,False
1.0,0.452909,0.0123,243.7,False
1.0,0.449019,0.0122,243.6,False
1.0,0.456233,0.0124,243.6,False
1.0,0.460096,0.0125,243.6,False
1.0,0.464032,0.0126,243.5,False
1.0,0.46169,0.0126,243.5,False
1.0,0.462184,0.0126,243.5,False
1.0,0.458715,0.0125,243.4,False
1.0,0.462823,0.0126,243.4,False
1.0,0.461765,0.0126,243.3,False
1.0,0.457475,0.0124,243.2,True
1.0,0.454729,0.0124,243.1,True
1.0,0.458309,0.0125,243.1,True
1.0,0.461379,0.0125,243.0,True
1.0,0.466493,0.0127,242.9,True
1.0,0.465826,0.0127,242.9,True
1.0,0.467005,0.0127,242.8,True
1.0,0.46662,0.0127,242.7,True
1.0,0.464674,0.0126,242.6,True
1.0,0.461816,0.0126,242.6,True
1.0,0.457566,0.0124,242.5,True
1.0,0.45786,0.0125,242.3,True
1.0,0.461037,0.0125,242.3,True
1.0,0.467473,0.0127,242.2,True
1.0,0.472676,0.0129,242.1,True
1.0,0.472549,0.0128,242.0,True
1.0,0.468376,0.0127,241.9,True
1.0,0.467921,0.0127,241.8,True
1.0,0.470906,0.0128,241.7,True
1.0,0.473459,0.0129,241.7,True
1.0,0.474674,0.0129,241.6,True
1.0,0.471873,0.0128,241.5,True
1.0,0.470275,0.0128,241.4,True
1.0,0.471455,0.0128,241.3,True
1.0,0.473112,0.0129,241.2,True
1.0,0.470919,0.0128,241.1,True
1.0,0.472887,0.0129,241.0,True
1.0,0.476618,0.013,240.9,True
1.0,0.482187,0.0131,240.8,True
1.0,0.486108,0.0132,240.7,True
0.8,0.420728,0.0143,240.6,True
0.8,0.424707,0.0144,240.5,True
0.8,0.423448,0.0144,240.5,True
0.8,0.426185,0.0145,240.4,True
0.8,0.422505,0.0144,240.3,True
0.8,0.422932,0.0144,240.2,True
0.8,0.419453,0.0143,240.2,True
0.8,0.422094,0.0143,240.1,True
0.8,0.42288,0.0144,240.0,True
0.8,0.423612,0.0144,240.0,True
0.8,0.421839,0.0143,239.9,True
0.8,0.422465,0.0144,239.9,True
0.8,0.416212,0.0141,239.8,True
0.8,0.418464,0.0142,239.8,True
0.8,0.417746,0.0142,239.8,True
0.8,0.4269,0.0145,239.7,True
0.8,0.42902,0.0146,239.7,True
0.8,0.432096,0.0147,239.7,True
0.8,0.431852,0.0147,239.6,True
0.8,0.429428,0.0146,239.6,True
0.8,0.433749,0.0147,239.6,True
0.8,0.431101,0.0147,239.6,True
0.8,0.431009,0.0146,239.6,True
0.8,0.430952,0.0146,239.6,True
0.8,0.432132,0.0147,239.6,True
0.8,0.432915,0.0147,239.6,True
0.8,0.434563,0.0148,239.6,True
0.8,0.438489,0.0149,239.6,True
0.8,0.443418,0.0151,239.7,True
0.8,0.450398,0.0153,239.8,True
0.6,0.387545,0.0176,239.8,True
0.6,0.390201,0.0177,239.9,True
0.6,0.398506,0.0181,239.9,True
0.6,0.403268,0.0183,240.0,True
0.6,0.408414,0.0185,240.0,True
0.6,0.407211,0.0185,240.1,True
0.6,0.401419,0.0182,240.2,True
0.6,0.403854,0.0183,240.3,True
0.6,0.401241,0.0182,240.4,True
0.6,0.396738,0.018,240.5,True
0.6,0.396197,0.018,240.6,True
0.6,0.392726,0.0178,240.7,True
0.6,0.393483,0.0178,240.8,True
0.6,0.383492,0.0174,241.0,True
0.6,0.373369,0.0169,241.1,True
0.6,0.371358,0.0168,241.2,True
0.6,0.374344,0.017,241.3,True
0.6,0.376655,0.0171,241.4,True
0.6,0.376725,0.0171,241.6,True
0.6,0.375171,0.017,241.6,True
0.6,0.378536,0.0172,241.8,True
0.6,0.377097,0.0171,241.9,True
0.6,0.369119,0.0167,242.0,True
0.6,0.36559,0.0166,242.1,True
0.6,0.362036,0.0164,242.2,True
0.6,0.357309,0.0162,242.4,True
0.6,0.355567,0.0161,242.5,True
0.6,0.360609,0.0163,242.6,True
0.6,0.355884,0.0161,242.7,True
0.6,0.364174,0.0165,242.8,True
