Angeleger Strom I,Gemessende Spannung U,spezifischer Wiederstand rho,Gemessende Temperatur [°C],Messdaten
0.15,0.8324,0.1257,29.7,False
0.15,0.8241,0.1245,29.7,False
0.15,0.8382,0.1266,29.7,False
0.15,0.8345,0.1261,29.7,False
0.15,0.8387,0.1267,29.7,False
0.15,0.8318,0.1257,29.7,False
0.15,0.827,0.1249,29.7,False
0.15,0.8194,0.1238,29.7,False
0.15,0.8197,0.1238,29.7,False
0.15,0.8156,0.1232,29.7,True
0.15,0.8179,0.1236,29.7,True
0.15,0.8309,0.1255,29.7,True
0.15,0.8309,0.1255,29.7,True
0.15,0.831,0.1255,29.7,True
0.15,0.8221,0.1242,29.7,True
0.15,0.8261,0.1248,29.7,True
0.15,0.8322,0.1257,29.7,True
0.15,0.8318,0.1257,29.7,True
0.15,0.831,0.1255,29.7,True
0.15,0.8246,0.1246,29.7,True
0.15,0.8264,0.1248,29.7,True
0.15,0.8165,0.1233,29.7,True
0.15,0.8183,0.1236,29.7,True
0.15,0.8218,0.1241,29.7,True
0.15,0.8237,0.1244,29.7,True
0.15,0.8298,0.1254,29.7,True
0.15,0.8289,0.1252,29.7,True
0.15,0.8318,0.1257,29.7,True
0.15,0.833,0.1258,29.7,True
0.15,0.8265,0.1249,29.7,True
0.15,0.8302,0.1254,29.7,True
0.15,0.8259,0.1248,29.7,True
0.15,0.8335,0.1259,29.7,True
0.15,0.827,0.1249,29.7,True
0.15,0.8392,0.1268,29.7,True
0.15,0.8478,0.1281,29.7,True
0.15,0.8609,0.1301,29.7,True
0.15,0.86,0.1299,29.8,True
0.15,0.8465,0.1279,29.8,True
0.15,0.8412,0.1271,29.8,True
0.15,0.8337,0.1259,29.8,True
0.15,0.8377,0.1265,29.8,True
0.15,0.8208,0.124,29.8,True
0.15,0.83,0.1254,29.8,True
0.15,0.8342,0.126,29.8,True
0.15,0.8377,0.1265,29.8,True
0.15,0.8424,0.1273,29.8,True
0.15,0.8484,0.1282,29.8,True
0.15,0.8581,0.1296,29.8,True
0.15,0.8575,0.1295,29.8,True
0.15,0.8503,0.1285,29.8,True
0.15,0.8413,0.1271,29.8,True
0.15,0.8366,0.1264,29.8,True
0.15,0.8364,0.1264,29.8,True
0.15,0.8308,0.1255,29.8,True
0.15,0.84,0.1269,29.8,True
0.15,0.8418,0.1272,29.8,True
0.15,0.838,0.1266,29.8,True
0.15,0.8385,0.1267,29.8,True
0.15,0.8382,0.1266,29.8,True
0.15,0.8374,0.1265,29.8,True
0.15,0.8357,0.1262,29.8,True
0.15,0.8295,0.1253,29.8,True
0.15,0.8242,0.1245,29.8,True
0.15,0.8322,0.1257,29.8,True
0.15,0.8289,0.1252,29.8,True
0.15,0.835,0.1261,29.8,True
0.15,0.8309,0.1255,29.8,True
0.15,0.8344,0.1261,29.8,True
0.15,0.8378,0.1266,29.8,True
0.15,0.8341,0.126,29.8,True
0.15,0.8415,0.1271,29.8,True
0.15,0.8434,0.1274,29.8,True
0.15,0.8409,0.127,29.8,True
0.15,0.8389,0.1267,29.8,True
0.15,0.8255,0.1247,29.8,True
0.15,0.8393,0.1268,29.8,True
0.15,0.8395,0.1268,29.8,True
0.15,0.8381,0.1266,29.8,True
0.15,0.8434,0.1274,29.8,True
0.15,0.8397,0.1269,29.8,True
0.15,0.8399,0.1269,29.8,True
0.15,0.8382,0.1266,29.8,True
0.15,0.8345,0.1261,29.8,True
0.15,0.8333,0.1259,29.8,True
0.15,0.8352,0.1262,29.8,True
0.15,0.8366,0.1264,29.8,True
0.15,0.8281,0.1251,29.8,True
0.15,0.8293,0.1253,29.8,True
0.15,0.8276,0.125,29.8,True
0.15,0.8303,0.1254,29.8,True
0.15,0.8354,0.1262,29.8,True
0.15,0.8386,0.1267,29.8,True
0.15,0.8394,0.1268,29.8,True
0.15,0.8333,0.1259,29.8,True
0.15,0.8479,0.1281,29.8,True
0.15,0.8513,0.1286,29.8,True
0.15,0.8414,0.1271,29.8,True
0.15,0.8388,0.1267,29.8,True
0.15,0.8426,0.1273,29.8,True
0.15,0.8482,0.1281,29.8,True
0.15,0.8281,0.1251,29.8,True
0.15,0.8258,0.1248,29.8,True
0.15,0.8351,0.1262,29.8,True
0.15,0.8371,0.1265,29.8,True
0.15,0.834,0.126,29.8,True
0.15,0.8284,0.1251,29.8,True
0.15,0.8247,0.1246,29.8,True
0.15,0.8302,0.1254,29.8,True
0.15,0.8289,0.1252,29.8,True
0.15,0.8353,0.1262,29.8,True
0.15,0.8402,0.1269,29.8,True
0.15,0.8395,0.1268,29.8,True
0.15,0.8349,0.1261,29.8,True
0.15,0.8379,0.1266,29.8,True
0.15,0.8525,0.1288,29.8,True
0.15,0.85,0.1284,29.8,True
0.15,0.8457,0.1278,29.8,True
0.15,0.8387,0.1267,29.8,True
0.15,0.8368,0.1264,29.8,True
0.15,0.8415,0.1271,29.8,True
0.15,0.8448,0.1276,29.8,True
0.15,0.843,0.1273,29.8,True
0.15,0.8471,0.128,29.8,True
0.15,0.8434,0.1274,29.8,True
0.15,0.8345,0.1261,29.8,True
0.15,0.8378,0.1266,29.8,True
0.15,0.8395,0.1268,29.8,True
0.15,0.8398,0.1269,29.8,True
