Angeleger Strom I,Gemessende Spannung U,spezifischer Wiederstand rho,Gemessende Temperatur [°C],Messdaten
0.15,0.0,0.0,29.7,False
0.15,-0.0001,-0.0,29.7,False
0.15,-0.0001,-0.0,29.7,False
0.15,-0.0001,-0.0,29.7,False
0.15,-0.0001,-0.0,29.7,False
0.15,-0.0001,-0.0,29.7,False
0.15,-0.0001,-0.0,29.7,False
0.15,-0.0001,-0.0,29.7,False
0.15,-0.0001,-0.0,29.7,False
0.15,-0.0001,-0.0,29.7,False
0.15,-0.0001,-0.0,29.7,False
0.15,-0.0001,-0.0,29.7,False
0.15,-0.0001,-0.0,29.7,False
0.15,-0.0001,-0.0,29.7,False
0.15,-0.0001,-0.0,29.7,False
0.15,-0.0001,-0.0,29.7,False
0.15,-0.0001,-0.0,29.7,False
0.15,-0.0001,-0.0,29.7,False
0.15,-0.0001,-0.0,29.7,False
0.15,-0.0001,-0.0,29.7,False
0.15,-0.0001,-0.0,29.7,False
0.15,-0.0001,-0.0,29.7,False
0.15,-0.0001,-0.0,29.7,False
0.15,-0.0001,-0.0,29.7,False
0.15,-0.0001,-0.0,29.7,False
0.15,-0.0001,-0.0,29.7,False
0.15,-0.0001,-0.0,29.7,False
0.15,-0.0001,-0.0,29.7,False
0.15,-0.0001,-0.0,29.7,False
0.15,-0.0001,-0.0,29.7,False
0.15,-0.0001,-0.0,29.7,False
0.15,-0.0001,-0.0,29.7,False
0.15,-0.0001,-0.0,29.7,False
0.15,-0.0001,-0.0,29.7,False
0.15,-0.0001,-0.0,29.7,False
0.15,-0.0001,-0.0,29.7,False
0.15,-0.0001,-0.0,29.7,False
0.15,-0.0001,-0.0,29.7,False
0.15,-0.0001,-0.0,29.7,False
0.15,-0.0001,-0.0,29.7,False
0.15,0,0.0,29.7,False
0.15,0,0.0,29.7,False
0.15,0,0.0,29.7,False
0.15,0,0.0,29.7,False
0.15,0,0.0,28.9,False
0.15,1.7079,0.258,29.6,False
0.15,1.3555,0.2048,29.7,False
0.15,1.187,0.1793,29.7,False
0.15,1.083,0.1636,29.7,False
0.15,1.0284,0.1554,29.7,False
0.15,0.9735,0.1471,29.7,False
0.15,0.9438,0.1426,29.7,False
0.15,0.9245,0.1397,29.7,False
0.15,0.9054,0.1368,29.7,False
0.15,0.8802,0.133,29.7,False
0.15,0.8702,0.1315,29.7,False
0.15,0.8612,0.1301,29.7,False
0.15,0.8459,0.1278,29.7,False
0.15,0.8472,0.128,29.7,False
0.15,0.8338,0.126,29.7,False
0.15,0.827,0.1249,29.7,False
0.15,0.8276,0.125,29.7,False
0.15,0.8236,0.1244,29.7,False
0.15,0.8182,0.1236,29.7,False
0.15,0.8273,0.125,29.7,False
0.15,0.8205,0.124,29.7,False
0.15,0.8226,0.1243,29.7,False
0.15,0.8337,0.1259,29.7,False
0.15,0.8369,0.1264,29.7,False
0.15,0.8341,0.126,29.7,False
0.15,0.8305,0.1255,29.7,False
0.15,0.8316,0.1256,29.7,False
0.15,0.8278,0.1251,29.7,False
0.15,0.8307,0.1255,29.7,False
0.15,0.8238,0.1244,29.7,False
0.15,0.8331,0.1259,29.7,False
0.15,0.8377,0.1265,29.7,False
0.15,0.8355,0.1262,29.7,False
0.15,0.8362,0.1263,29.7,False
0.15,0.8399,0.1269,29.7,False
0.15,0.8248,0.1246,29.7,False
0.15,0.8267,0.1249,29.7,False
0.15,0.8274,0.125,29.7,False
0.15,0.8253,0.1247,29.7,False
0.15,0.8229,0.1243,29.7,False
0.15,0.8296,0.1253,29.7,False
0.15,0.8312,0.1256,29.7,False
0.15,0.8123,0.1227,29.7,False
0.15,0.8187,0.1237,29.7,False
0.15,0.8189,0.1237,29.7,False
0.15,0.8145,0.123,29.7,False
0.15,0.8207,0.124,29.7,False
0.15,0.8184,0.1236,29.7,False
0.15,0.8264,0.1248,29.7,False
0.15,0.8317,0.1256,29.7,False
0.15,0.8232,0.1244,29.7,False
0.15,0.8222,0.1242,29.7,False
0.15,0.8246,0.1246,29.7,False
0.15,0.823,0.1243,29.7,False
0.15,0.8238,0.1244,29.7,False
0.15,0.8264,0.1248,29.7,False
0.15,0.8292,0.1253,29.7,False
0.15,0.8304,0.1254,29.7,False
0.15,0.8316,0.1256,29.7,False
0.15,0.8311,0.1256,29.7,False
0.15,0.8317,0.1256,29.7,False
0.15,0.8329,0.1258,29.7,False
0.15,0.835,0.1261,29.7,False
0.15,0.8479,0.1281,29.7,False
0.15,0.8382,0.1266,29.7,False
