Angeleger Strom I,Gemessende Spannung U [mV],spezifischer Wiederstand rho,Gemessende Temperatur [degC],Messdaten
1.0,0.534015,0.0145,268.7,False
1.0,0.525035,0.0143,268.7,False
1.0,0.520367,0.0141,268.7,False
1.0,0.526731,0.0143,268.8,False
1.0,0.523984,0.0142,268.8,False
1.0,0.523337,0.0142,268.8,False
1.0,0.523441,0.0142,268.9,False
1.0,0.520248,0.0141,268.9,False
1.0,0.516327,0.014,268.9,False
1.0,0.508593,0.0138,268.9,False
1.0,0.510169,0.0139,269.0,False
1.0,0.509245,0.0138,269.0,False
1.0,0.505258,0.0137,269.0,False
1.0,0.503427,0.0137,269.0,False
1.0,0.499597,0.0136,269.0,True
1.0,0.502877,0.0137,269.0,True
1.0,0.502183,0.0137,269.0,True
1.0,0.501115,0.0136,269.0,True
1.0,0.500111,0.0136,269.0,True
1.0,0.496863,0.0135,268.9,True
1.0,0.491236,0.0134,268.9,True
1.0,0.490753,0.0133,268.9,True
1.0,0.488848,0.0133,268.9,True
1.0,0.493077,0.0134,268.8,True
1.0,0.494595,0.0134,268.8,True
1.0,0.499902,0.0136,268.8,True
1.0,0.501125,0.0136,268.7,True
1.0,0.503958,0.0137,268.7,True
1.0,0.504507,0.0137,268.7,True
1.0,0.49846,0.0136,268.7,True
1.0,0.495405,0.0135,268.6,True
1.0,0.495721,0.0135,268.6,True
1.0,0.496227,0.0135,268.6,True
1.0,0.500842,0.0136,268.6,True
1.0,0.50418,0.0137,268.6,True
1.0,0.503095,0.0137,268.6,True
1.0,0.502002,0.0137,268.6,True
1.0,0.501711,0.0136,268.6,True
1.0,0.50273,0.0137,268.6,True
1.0,0.504417,0.0137,268.6,True
1.0,0.500963,0.0136,268.6,True
1.0,0.498638,0.0136,268.7,True
1.0,0.501174,0.0136,268.7,True
1.0,0.500721,0.0136,268.7,True
0.8,0.429789,0.0146,268.7,True
0.8,0.434477,0.0148,268.8,True
0.8,0.436768,0.0148,268.8,True
0.8,0.436735,0.0148,268.9,True
0.8,0.436574,0.0148,268.9,True
0.8,0.434111,0.0148,268.9,True
0.8,0.43581,0.0148,269.0,True
0.8,0.433454,0.0147,269.0,True
0.8,0.43307,0.0147,269.0,True
0.8,0.430451,0.0146,269.1,True
0.8,0.427793,0.0145,269.2,True
0.8,0.426857,0.0145,269.2,True
0.8,0.426068,0.0145,269.2,True
0.8,0.426869,0.0145,269.3,True
0.8,0.42766,0.0145,269.3,True
0.8,0.422699,0.0144,269.4,True
0.8,0.422725,0.0144,269.4,True
0.8,0.422841,0.0144,269.4,True
0.8,0.428914,0.0146,269.4,True
0.8,0.425628,0.0145,269.5,True
0.8,0.423727,0.0144,269.5,True
0.8,0.421147,0.0143,269.5,True
0.8,0.418781,0.0142,269.6,True
0.8,0.416146,0.0141,269.6,True
0.8,0.415028,0.0141,269.6,True
0.8,0.416805,0.0142,269.6,True
0.8,0.418488,0.0142,269.6,True
0.8,0.419281,0.0143,269.6,True
0.8,0.415383,0.0141,269.6,True
0.8,0.411509,0.014,269.6,True
0.6,0.336627,0.0153,269.6,True
0.6,0.341676,0.0155,269.6,True
0.6,0.342785,0.0155,269.7,True
0.6,0.34206,0.0155,269.7,True
0.6,0.344556,0.0156,269.7,True
0.6,0.341845,0.0155,269.7,True
0.6,0.343597,0.0156,269.7,True
0.6,0.341002,0.0155,269.6,True
0.6,0.344397,0.0156,269.6,True
0.6,0.344635,0.0156,269.6,True
0.6,0.3498,0.0159,269.6,True
0.6,0.351469,0.0159,269.5,True
0.6,0.348655,0.0158,269.5,True
0.6,0.350255,0.0159,269.5,True
0.6,0.348089,0.0158,269.5,True
0.6,0.347607,0.0158,269.4,True
0.6,0.348577,0.0158,269.4,True
0.6,0.346378,0.0157,269.4,True
0.6,0.353194,0.016,269.4,True
0.6,0.355785,0.0161,269.4,True
0.6,0.36028,0.0163,269.4,True
0.6,0.360365,0.0163,269.3,True
0.6,0.360293,0.0163,269.3,True
0.6,0.361398,0.0164,269.3,True
0.6,0.365496,0.0166,269.3,True
0.6,0.368749,0.0167,269.3,True
0.6,0.366681,0.0166,269.3,True
0.6,0.365073,0.0165,269.3,True
0.6,0.36283,0.0164,269.3,True
0.6,0.360533,0.0163,269.3,True
