tSensor,voltage
30.2,0.0054
30.2,-0.0002
30.2,0.0
30.2,0.0001
30.2,0.0004
30.2,0.0003
30.2,-0.0001
30.2,-0.0002
30.2,-0.0005
30.2,0.0005
30.2,0.0002
30.2,0.0
30.2,0.0001
30.1,0.0
30.1,-0.0002
30.1,-0.0
30.1,0.0
30.1,0.0001
30.1,0.0002
30.1,0.0003
30.1,-0.0002
30.1,-0.0
30.1,0.0004
30.1,0.0
30.1,-0.0
30.1,0.0
30.1,-0.0002
30.1,-0.0003
30.1,-0.0
30.1,0.0002
30.1,0.0001
30.1,0.0003
30.1,0.0004
