Angeleger Strom I,Gemessende Spannung U [mV],spezifischer Wiederstand rho,Gemessende Temperatur [degC],Messdaten
1.0,0.29611,0.0081,90.3,False
1.0,0.296745,0.0081,90.4,False
1.0,0.296838,0.0081,90.4,False
1.0,0.297264,0.0081,90.5,False
1.0,0.297918,0.0081,90.5,False
1.0,0.296323,0.0081,90.6,False
1.0,0.295199,0.008,90.6,False
1.0,0.295854,0.008,90.7,False
1.0,0.296381,0.0081,90.8,False
1.0,0.294922,0.008,90.8,False
1.0,0.293985,0.008,90.9,False
1.0,0.293797,0.008,90.9,False
1.0,0.294079,0.008,91.1,False
1.0,0.295302,0.008,91.1,False
1.0,0.295617,0.008,91.2,False
1.0,0.295706,0.008,91.3,False
1.0,0.295874,0.008,91.3,False
1.0,0.296928,0.0081,91.4,False
1.0,0.296868,0.0081,91.5,False
1.0,0.296517,0.0081,91.6,False
1.0,0.295925,0.008,91.7,False
1.0,0.296729,0.0081,91.8,False
1.0,0.296408,0.0081,91.8,False
1.0,0.295938,0.008,91.9,False
1.0,0.295172,0.008,92.0,False
1.0,0.294193,0.008,92.1,False
1.0,0.293405,0.008,92.2,False
1.0,0.292704,0.008,92.3,False
1.0,0.292193,0.0079,92.3,False
1.0,0.292877,0.008,92.4,True
1.0,0.292766,0.008,92.5,True
1.0,0.292017,0.0079,92.6,True
1.0,0.291972,0.0079,92.7,True
1.0,0.291426,0.0079,92.7,True
1.0,0.290738,0.0079,92.8,True
1.0,0.291074,0.0079,92.9,True
1.0,0.29096,0.0079,93.0,True
1.0,0.289923,0.0079,93.1,True
1.0,0.289796,0.0079,93.1,True
1.0,0.290389,0.0079,93.2,True
1.0,0.290845,0.0079,93.2,True
1.0,0.291736,0.0079,93.3,True
1.0,0.292702,0.008,93.4,True
1.0,0.293422,0.008,93.4,True
0.5,0.166986,0.0091,93.5,True
0.5,0.166231,0.009,93.6,True
0.5,0.166974,0.0091,93.6,True
0.5,0.167408,0.0091,93.7,True
0.5,0.167117,0.0091,93.7,True
0.5,0.167062,0.0091,93.8,True
0.5,0.16662,0.0091,93.8,True
0.5,0.165818,0.009,93.9,True
0.5,0.166011,0.009,93.9,True
0.5,0.165805,0.009,93.9,True
0.5,0.16528,0.009,94.0,True
0.5,0.165238,0.009,94.0,True
0.5,0.166266,0.009,94.1,True
0.5,0.167401,0.0091,94.1,True
0.5,0.166851,0.0091,94.1,True
0.25,0.103446,0.0113,94.1,True
0.25,0.103405,0.0112,94.2,True
0.25,0.103135,0.0112,94.2,True
0.25,0.104408,0.0114,94.3,True
0.25,0.105486,0.0115,94.3,True
0.25,0.105049,0.0114,94.3,True
0.25,0.105418,0.0115,94.3,True
0.25,0.106184,0.0115,94.3,True
0.25,0.105238,0.0114,94.3,True
0.25,0.104849,0.0114,94.4,True
0.25,0.104639,0.0114,94.4,True
0.25,0.105993,0.0115,94.4,True
0.25,0.107086,0.0116,94.4,True
0.25,0.106365,0.0116,94.4,True
0.25,0.105932,0.0115,94.5,True
