T_soll [degC],T_ist_avg [degC],T_ist_std [degC],I [A],U_avg [mV],U_std [mV]
100.0,92.953333,0.313829,1.0,0.29151,0.001074
100.0,93.846667,0.189268,0.5,0.166471,0.000698
100.0,94.32,0.09798,0.25,0.105109,0.001117
