Angeleger Strom I,Gemessende Spannung U [mV],spezifischer Wiederstand rho,Gemessende Temperatur [degC],Messdaten
1.0,0.336037,0.0091,272.8,False
1.0,0.337538,0.0092,272.9,False
1.0,0.339441,0.0092,272.9,False
1.0,0.338336,0.0092,272.9,False
1.0,0.34183,0.0093,272.9,False
1.0,0.341796,0.0093,272.9,False
1.0,0.341595,0.0093,272.9,False
1.0,0.339941,0.0092,273.0,False
1.0,0.339676,0.0092,273.0,False
1.0,0.339794,0.0092,273.0,False
1.0,0.342041,0.0093,273.0,False
1.0,0.339936,0.0092,273.0,False
1.0,0.341169,0.0093,273.0,False
1.0,0.34112,0.0093,273.0,False
1.0,0.341434,0.0093,273.0,True
1.0,0.3421,0.0093,273.0,True
1.0,0.344063,0.0094,273.0,True
1.0,0.343766,0.0093,273.0,True
1.0,0.342039,0.0093,273.0,True
1.0,0.345008,0.0094,273.0,True
1.0,0.343995,0.0094,273.0,True
1.0,0.344067,0.0094,273.0,True
1.0,0.346368,0.0094,273.0,True
1.0,0.346431,0.0094,273.0,True
1.0,0.346069,0.0094,273.1,True
1.0,0.342467,0.0093,273.1,True
1.0,0.343003,0.0093,273.1,True
1.0,0.343667,0.0093,273.1,True
1.0,0.344748,0.0094,273.2,True
1.0,0.34456,0.0094,273.2,True
1.0,0.343159,0.0093,273.2,True
1.0,0.343812,0.0093,273.3,True
1.0,0.343176,0.0093,273.3,True
1.0,0.338468,0.0092,273.4,True
1.0,0.340542,0.0093,273.4,True
1.0,0.340539,0.0093,273.5,True
1.0,0.33993,0.0092,273.5,True
1.0,0.340151,0.0092,273.5,True
1.0,0.340849,0.0093,273.6,True
1.0,0.338192,0.0092,273.6,True
1.0,0.335831,0.0091,273.7,True
1.0,0.331148,0.009,273.7,True
1.0,0.333011,0.0091,273.8,True
1.0,0.337135,0.0092,273.8,True
0.8,0.295959,0.0101,273.8,True
0.8,0.29399,0.01,273.9,True
0.8,0.296336,0.0101,273.9,True
0.8,0.294769,0.01,274.0,True
0.8,0.292783,0.01,274.0,True
0.8,0.294222,0.01,274.0,True
0.8,0.297462,0.0101,274.1,True
0.8,0.298464,0.0101,274.2,True
0.8,0.297106,0.0101,274.2,True
0.8,0.293365,0.01,274.2,True
0.8,0.292505,0.0099,274.2,True
0.8,0.290429,0.0099,274.3,True
0.8,0.285836,0.0097,274.3,True
0.8,0.283742,0.0096,274.3,True
0.8,0.282189,0.0096,274.3,True
0.8,0.279253,0.0095,274.3,True
0.8,0.279623,0.0095,274.4,True
0.8,0.280874,0.0095,274.4,True
0.8,0.280967,0.0096,274.4,True
0.8,0.281458,0.0096,274.4,True
0.8,0.283536,0.0096,274.4,True
0.8,0.284328,0.0097,274.4,True
0.8,0.288699,0.0098,274.4,True
0.8,0.291472,0.0099,274.4,True
0.8,0.290848,0.0099,274.3,True
0.8,0.29043,0.0099,274.3,True
0.8,0.290536,0.0099,274.3,True
0.8,0.288723,0.0098,274.3,True
0.8,0.291851,0.0099,274.2,True
0.8,0.294051,0.01,274.2,True
0.6,0.253747,0.0115,274.2,True
0.6,0.250256,0.0113,274.2,True
0.6,0.247084,0.0112,274.2,True
0.6,0.243338,0.011,274.2,True
0.6,0.241452,0.0109,274.1,True
0.6,0.241336,0.0109,274.1,True
0.6,0.239372,0.0108,274.1,True
0.6,0.239222,0.0108,274.1,True
0.6,0.237602,0.0108,274.1,True
0.6,0.239929,0.0109,274.1,True
0.6,0.241711,0.011,274.1,True
0.6,0.238398,0.0108,274.1,True
0.6,0.238335,0.0108,274.1,True
0.6,0.234727,0.0106,274.1,True
0.6,0.235065,0.0107,274.1,True
0.6,0.235491,0.0107,274.1,True
0.6,0.239965,0.0109,274.1,True
0.6,0.241998,0.011,274.1,True
0.6,0.244054,0.0111,274.1,True
0.6,0.248308,0.0113,274.1,True
0.6,0.248504,0.0113,274.2,True
0.6,0.249787,0.0113,274.2,True
0.6,0.247035,0.0112,274.2,True
0.6,0.248929,0.0113,274.3,True
0.6,0.250005,0.0113,274.3,True
0.6,0.25242,0.0114,274.4,True
0.6,0.252378,0.0114,274.4,True
0.6,0.252425,0.0114,274.5,True
0.6,0.254998,0.0116,274.5,True
0.6,0.254382,0.0115,274.6,True
