T_soll [degC],T_ist_avg [degC],T_ist_std [degC],I [A],U_avg [mV],U_std [mV]
50.0,49.076667,0.578321,1.0,0.382295,0.000624
50.0,50.433333,0.252102,0.5,0.199519,0.000561
50.0,50.953333,0.071802,0.25,0.108019,0.000492
