Angeleger Strom I,Gemessende Spannung U [mV],spezifischer Wiederstand rho,Gemessende Temperatur [degC],Messdaten
1.0,0.380793,0.0104,46.4,False
1.0,0.380605,0.0103,46.6,False
1.0,0.380882,0.0104,46.7,False
1.0,0.38119,0.0104,46.8,False
1.0,0.381415,0.0104,46.9,False
1.0,0.38117,0.0104,47.0,False
1.0,0.381058,0.0104,47.1,False
1.0,0.381068,0.0104,47.3,False
1.0,0.380363,0.0103,47.4,False
1.0,0.380143,0.0103,47.5,False
1.0,0.37999,0.0103,47.6,False
1.0,0.379748,0.0103,47.7,False
1.0,0.380112,0.0103,47.8,False
1.0,0.380389,0.0103,47.9,False
1.0,0.380937,0.0104,48.0,True
1.0,0.380924,0.0104,48.1,True
1.0,0.381455,0.0104,48.1,True
1.0,0.382029,0.0104,48.3,True
1.0,0.382062,0.0104,48.3,True
1.0,0.382168,0.0104,48.5,True
1.0,0.382009,0.0104,48.5,True
1.0,0.382371,0.0104,48.6,True
1.0,0.382495,0.0104,48.7,True
1.0,0.383111,0.0104,48.8,True
1.0,0.383137,0.0104,48.8,True
1.0,0.383077,0.0104,48.9,True
1.0,0.382941,0.0104,49.0,True
1.0,0.382581,0.0104,49.0,True
1.0,0.382166,0.0104,49.1,True
1.0,0.381957,0.0104,49.1,True
1.0,0.381678,0.0104,49.3,True
1.0,0.381482,0.0104,49.3,True
1.0,0.381707,0.0104,49.4,True
1.0,0.381874,0.0104,49.4,True
1.0,0.382045,0.0104,49.5,True
1.0,0.382103,0.0104,49.5,True
1.0,0.382365,0.0104,49.6,True
1.0,0.382761,0.0104,49.6,True
1.0,0.383007,0.0104,49.7,True
1.0,0.383279,0.0104,49.8,True
1.0,0.382967,0.0104,49.8,True
1.0,0.382674,0.0104,49.8,True
1.0,0.382755,0.0104,49.9,True
1.0,0.382731,0.0104,49.9,True
0.5,0.20045,0.0109,50.0,True
0.5,0.200305,0.0109,50.0,True
0.5,0.200521,0.0109,50.0,True
0.5,0.200649,0.0109,50.1,True
0.5,0.200673,0.0109,50.1,True
0.5,0.200465,0.0109,50.1,True
0.5,0.20001,0.0109,50.2,True
0.5,0.199694,0.0109,50.2,True
0.5,0.199828,0.0109,50.3,True
0.5,0.199566,0.0109,50.3,True
0.5,0.199443,0.0108,50.3,True
0.5,0.199088,0.0108,50.4,True
0.5,0.199109,0.0108,50.4,True
0.5,0.199074,0.0108,50.4,True
0.5,0.199233,0.0108,50.5,True
0.5,0.199144,0.0108,50.5,True
0.5,0.199129,0.0108,50.5,True
0.5,0.199203,0.0108,50.5,True
0.5,0.199198,0.0108,50.6,True
0.5,0.199085,0.0108,50.6,True
0.5,0.198987,0.0108,50.6,True
0.5,0.199037,0.0108,50.6,True
0.5,0.199507,0.0108,50.6,True
0.5,0.199263,0.0108,50.7,True
0.5,0.199512,0.0109,50.7,True
0.5,0.199454,0.0108,50.7,True
0.5,0.199061,0.0108,50.7,True
0.5,0.198889,0.0108,50.8,True
0.5,0.19893,0.0108,50.8,True
0.5,0.199067,0.0108,50.8,True
0.25,0.107964,0.0117,50.8,True
0.25,0.108221,0.0118,50.8,True
0.25,0.108648,0.0118,50.8,True
0.25,0.108872,0.0118,50.8,True
0.25,0.108855,0.0118,50.9,True
0.25,0.108804,0.0118,50.9,True
0.25,0.10887,0.0118,50.9,True
0.25,0.108318,0.0118,50.9,True
0.25,0.108309,0.0118,50.9,True
0.25,0.108258,0.0118,50.9,True
0.25,0.108315,0.0118,51.0,True
0.25,0.108142,0.0118,51.0,True
0.25,0.107897,0.0117,51.0,True
0.25,0.107741,0.0117,51.0,True
0.25,0.107543,0.0117,51.0,True
0.25,0.107278,0.0117,51.0,True
0.25,0.107116,0.0117,51.0,True
0.25,0.107193,0.0117,51.0,True
0.25,0.107303,0.0117,51.0,True
0.25,0.107636,0.0117,51.0,True
0.25,0.108169,0.0118,51.0,True
0.25,0.10838,0.0118,51.0,True
0.25,0.108203,0.0118,51.0,True
0.25,0.108073,0.0118,51.0,True
0.25,0.107831,0.0117,51.0,True
0.25,0.107751,0.0117,51.0,True
0.25,0.107792,0.0117,51.0,True
0.25,0.107866,0.0117,51.0,True
0.25,0.107629,0.0117,51.0,True
0.25,0.107588,0.0117,51.0,True
