T_soll [degC],T_ist_avg [degC],T_ist_std [degC],I [A],U_avg [mV],U_std [mV]
25.0,26.2,0.0,0.25,0.077156,0.007659
25.0,26.2,0.0,0.5,0.143595,0.045228
25.0,26.2,0.0,1.0,0.309102,0.064632
