Angeleger Strom I,Gemessende Spannung U [mV],spezifischer Wiederstand rho,Gemessende Temperatur [degC],Messdaten
1.0,0.495558,0.0135,271.3,False
1.0,0.491909,0.0134,271.3,False
1.0,0.491608,0.0134,271.3,False
1.0,0.492139,0.0134,271.3,False
1.0,0.492211,0.0134,271.3,False
1.0,0.492596,0.0134,271.2,False
1.0,0.492724,0.0134,271.2,False
1.0,0.493753,0.0134,271.1,False
1.0,0.496133,0.0135,271.1,False
1.0,0.497776,0.0135,271.1,False
1.0,0.4983,0.0135,271.0,False
1.0,0.500624,0.0136,271.0,False
1.0,0.501786,0.0136,270.9,False
1.0,0.501889,0.0136,270.9,False
1.0,0.497788,0.0135,270.8,True
1.0,0.497853,0.0135,270.8,True
1.0,0.497208,0.0135,270.7,True
1.0,0.498314,0.0136,270.7,True
1.0,0.495683,0.0135,270.6,True
1.0,0.494113,0.0134,270.5,True
1.0,0.493962,0.0134,270.5,True
1.0,0.495239,0.0135,270.4,True
1.0,0.494046,0.0134,270.4,True
1.0,0.495005,0.0135,270.4,True
1.0,0.496452,0.0135,270.3,True
1.0,0.496295,0.0135,270.3,True
1.0,0.498407,0.0136,270.3,True
1.0,0.496751,0.0135,270.3,True
1.0,0.491514,0.0134,270.3,True
1.0,0.489053,0.0133,270.3,True
1.0,0.48876,0.0133,270.3,True
1.0,0.490209,0.0133,270.3,True
1.0,0.495075,0.0135,270.3,True
1.0,0.490501,0.0133,270.3,True
1.0,0.490819,0.0133,270.3,True
1.0,0.488731,0.0133,270.3,True
1.0,0.492058,0.0134,270.4,True
1.0,0.491953,0.0134,270.4,True
1.0,0.491518,0.0134,270.5,True
1.0,0.489205,0.0133,270.6,True
1.0,0.493602,0.0134,270.7,True
1.0,0.49293,0.0134,270.7,True
1.0,0.489597,0.0133,270.7,True
1.0,0.491536,0.0134,270.8,True
0.8,0.417835,0.0142,270.8,True
0.8,0.420354,0.0143,270.8,True
0.8,0.42163,0.0143,270.9,True
0.8,0.420212,0.0143,270.9,True
0.8,0.417,0.0142,270.9,True
0.8,0.415531,0.0141,270.9,True
0.8,0.416882,0.0142,271.0,True
0.8,0.418112,0.0142,271.0,True
0.8,0.417821,0.0142,271.0,True
0.8,0.41078,0.014,271.0,True
0.8,0.414353,0.0141,271.1,True
0.8,0.413723,0.0141,271.1,True
0.8,0.414878,0.0141,271.1,True
0.8,0.418363,0.0142,271.1,True
0.8,0.419193,0.0142,271.1,True
0.8,0.417733,0.0142,271.1,True
0.8,0.424178,0.0144,271.1,True
0.8,0.423095,0.0144,271.2,True
0.8,0.421792,0.0143,271.2,True
0.8,0.421346,0.0143,271.2,True
0.8,0.416788,0.0142,271.2,True
0.8,0.413748,0.0141,271.2,True
0.8,0.416382,0.0142,271.2,True
0.8,0.416685,0.0142,271.2,True
0.8,0.425039,0.0144,271.2,True
0.8,0.427079,0.0145,271.2,True
0.8,0.434637,0.0148,271.2,True
0.8,0.432127,0.0147,271.2,True
0.8,0.431654,0.0147,271.2,True
0.8,0.429102,0.0146,271.2,True
0.6,0.355213,0.0161,271.1,True
0.6,0.35522,0.0161,271.1,True
0.6,0.360896,0.0164,271.1,True
0.6,0.361891,0.0164,271.1,True
0.6,0.365412,0.0166,271.1,True
0.6,0.366087,0.0166,271.1,True
0.6,0.366283,0.0166,271.1,True
0.6,0.363767,0.0165,271.1,True
0.6,0.364322,0.0165,271.1,True
0.6,0.363213,0.0165,271.2,True
0.6,0.359232,0.0163,271.2,True
0.6,0.361966,0.0164,271.2,True
0.6,0.360708,0.0163,271.2,True
0.6,0.364161,0.0165,271.3,True
0.6,0.3685,0.0167,271.3,True
0.6,0.368135,0.0167,271.3,True
0.6,0.36169,0.0164,271.4,True
0.6,0.35589,0.0161,271.4,True
0.6,0.354588,0.0161,271.4,True
0.6,0.352392,0.016,271.5,True
0.6,0.350355,0.0159,271.5,True
0.6,0.350714,0.0159,271.5,True
0.6,0.358053,0.0162,271.6,True
0.6,0.354835,0.0161,271.6,True
0.6,0.351398,0.0159,271.6,True
0.6,0.353635,0.016,271.7,True
0.6,0.351234,0.0159,271.8,True
0.6,0.351044,0.0159,271.8,True
0.6,0.351188,0.0159,271.8,True
0.6,0.347921,0.0158,271.8,True
