Angeleger Strom I,Gemessende Spannung U,spezifischer Wiederstand rho,Gemessende Temperatur [°C],Messdaten
0.15,-0.0005,-0.0001,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
