Angeleger Strom I,Gemessende Spannung U [mV],spezifischer Wiederstand rho,Gemessende Temperatur [degC],Messdaten
1.0,0.342148,0.0093,239.5,False
1.0,0.339795,0.0092,239.4,False
1.0,0.340047,0.0092,239.3,False
1.0,0.33808,0.0092,239.3,False
1.0,0.3385,0.0092,239.1,False
1.0,0.337501,0.0092,239.1,False
1.0,0.336339,0.0091,239.0,False
1.0,0.337511,0.0092,238.9,False
1.0,0.334836,0.0091,238.8,False
1.0,0.332266,0.009,238.7,False
1.0,0.32933,0.009,238.7,False
1.0,0.328437,0.0089,238.6,False
1.0,0.327004,0.0089,238.5,False
1.0,0.323029,0.0088,238.4,False
1.0,0.320934,0.0087,238.3,True
1.0,0.322808,0.0088,238.3,True
1.0,0.323875,0.0088,238.2,True
1.0,0.324117,0.0088,238.1,True
1.0,0.324317,0.0088,238.1,True
1.0,0.32284,0.0088,238.0,True
1.0,0.322983,0.0088,237.9,True
1.0,0.322977,0.0088,237.9,True
1.0,0.320825,0.0087,237.8,True
1.0,0.320208,0.0087,237.7,True
1.0,0.318984,0.0087,237.7,True
1.0,0.316273,0.0086,237.6,True
1.0,0.314308,0.0085,237.5,True
1.0,0.317029,0.0086,237.5,True
1.0,0.316854,0.0086,237.4,True
1.0,0.318681,0.0087,237.4,True
1.0,0.32115,0.0087,237.3,True
1.0,0.318888,0.0087,237.2,True
1.0,0.322872,0.0088,237.2,True
1.0,0.322649,0.0088,237.1,True
1.0,0.32179,0.0088,237.1,True
1.0,0.321959,0.0088,237.0,True
1.0,0.320298,0.0087,237.0,True
1.0,0.319309,0.0087,236.9,True
1.0,0.319799,0.0087,236.9,True
1.0,0.318749,0.0087,236.8,True
1.0,0.322124,0.0088,236.8,True
1.0,0.32235,0.0088,236.7,True
1.0,0.322626,0.0088,236.7,True
1.0,0.325729,0.0089,236.7,True
0.8,0.283371,0.0096,236.7,True
0.8,0.280623,0.0095,236.7,True
0.8,0.277621,0.0094,236.7,True
0.8,0.277781,0.0094,236.7,True
0.8,0.277697,0.0094,236.7,True
0.8,0.277612,0.0094,236.7,True
0.8,0.279235,0.0095,236.7,True
0.8,0.281438,0.0096,236.7,True
0.8,0.28,0.0095,236.7,True
0.8,0.278385,0.0095,236.7,True
0.8,0.276803,0.0094,236.7,True
0.8,0.275321,0.0094,236.7,True
0.8,0.271912,0.0092,236.8,True
0.8,0.271632,0.0092,236.8,True
0.8,0.271625,0.0092,236.9,True
0.8,0.273629,0.0093,237.0,True
0.8,0.274518,0.0093,237.0,True
0.8,0.275056,0.0093,237.2,True
0.8,0.274284,0.0093,237.2,True
0.8,0.275926,0.0094,237.3,True
0.8,0.277566,0.0094,237.4,True
0.8,0.279196,0.0095,237.5,True
0.8,0.280043,0.0095,237.6,True
0.8,0.280987,0.0096,237.7,True
0.8,0.281986,0.0096,237.8,True
0.8,0.282511,0.0096,237.9,True
0.8,0.281767,0.0096,238.0,True
0.8,0.279615,0.0095,238.2,True
0.8,0.281315,0.0096,238.3,True
0.8,0.280755,0.0095,238.5,True
0.6,0.233652,0.0106,238.5,True
0.6,0.233214,0.0106,238.6,True
0.6,0.234304,0.0106,238.8,True
0.6,0.237459,0.0108,238.9,True
0.6,0.240703,0.0109,239.0,True
0.6,0.24072,0.0109,239.1,True
0.6,0.241522,0.0109,239.2,True
0.6,0.244415,0.0111,239.3,True
0.6,0.242573,0.011,239.4,True
0.6,0.243056,0.011,239.5,True
0.6,0.242316,0.011,239.6,True
0.6,0.242215,0.011,239.7,True
0.6,0.24114,0.0109,239.8,True
0.6,0.242571,0.011,239.9,True
0.6,0.243242,0.011,240.0,True
0.6,0.244018,0.0111,240.1,True
0.6,0.243574,0.011,240.2,True
0.6,0.241912,0.011,240.3,True
0.6,0.240701,0.0109,240.4,True
0.6,0.240319,0.0109,240.4,True
0.6,0.236566,0.0107,240.5,True
0.6,0.232546,0.0105,240.5,True
0.6,0.232078,0.0105,240.6,True
0.6,0.232159,0.0105,240.7,True
0.6,0.231581,0.0105,240.7,True
0.6,0.233517,0.0106,240.7,True
0.6,0.232562,0.0105,240.8,True
0.6,0.230875,0.0105,240.8,True
0.6,0.226208,0.0103,240.8,True
0.6,0.223389,0.0101,240.8,True
