T_soll [degC],T_ist_avg [degC],T_ist_std [degC],I [A],U_avg [mV],U_std [mV]
200.0,194.326667,0.509204,1.0,0.615855,0.111585
200.0,192.603333,0.363761,0.5,0.275884,0.06638
200.0,192.863333,0.585653,0.25,0.161137,0.009219
