Angeleger Strom I,Gemessende Spannung U [mV],spezifischer Wiederstand rho,Gemessende Temperatur [degC],Messdaten
1.0,0.506494,0.0138,194.2,False
1.0,0.519821,0.0141,194.3,False
1.0,0.526855,0.0143,194.4,False
1.0,0.529513,0.0144,194.5,False
1.0,0.530282,0.0144,194.5,False
1.0,0.533006,0.0145,194.6,False
1.0,0.532846,0.0145,194.7,False
1.0,0.535305,0.0146,194.7,False
1.0,0.55317,0.015,194.8,False
1.0,0.564833,0.0154,194.8,False
1.0,0.568457,0.0155,194.9,False
1.0,0.579411,0.0158,194.9,False
1.0,0.576893,0.0157,195.0,False
1.0,0.575729,0.0157,195.0,False
1.0,0.571107,0.0155,195.0,False
1.0,0.580139,0.0158,195.0,False
1.0,0.577957,0.0157,195.0,False
1.0,0.58058,0.0158,195.0,False
1.0,0.600099,0.0163,195.1,False
1.0,0.70137,0.0191,195.1,False
1.0,0.693991,0.0189,195.1,False
1.0,0.765804,0.0208,195.1,False
1.0,0.744298,0.0202,195.1,False
1.0,0.743774,0.0202,195.1,False
1.0,0.801731,0.0218,195.1,False
1.0,0.749449,0.0204,195.1,False
1.0,0.755993,0.0206,195.1,False
1.0,0.742698,0.0202,195.1,False
1.0,0.739729,0.0201,195.1,False
1.0,0.751312,0.0204,195.1,True
1.0,0.79271,0.0216,195.0,True
1.0,0.82716,0.0225,195.0,True
1.0,0.83297,0.0227,195.0,True
1.0,0.82362,0.0224,194.9,True
1.0,0.811866,0.0221,194.9,True
1.0,0.745684,0.0203,194.8,True
1.0,0.685556,0.0186,194.8,True
1.0,0.651782,0.0177,194.7,True
1.0,0.642505,0.0175,194.7,True
1.0,0.61838,0.0168,194.6,True
1.0,0.619515,0.0168,194.6,True
1.0,0.612561,0.0167,194.5,True
1.0,0.597981,0.0163,194.5,True
1.0,0.57715,0.0157,194.4,True
1.0,0.567501,0.0154,194.4,True
1.0,0.543574,0.0148,194.3,True
1.0,0.535516,0.0146,194.2,True
1.0,0.530197,0.0144,194.1,True
1.0,0.523131,0.0142,194.1,True
1.0,0.525471,0.0143,194.0,True
1.0,0.519473,0.0141,194.0,True
1.0,0.520898,0.0142,193.9,True
1.0,0.522796,0.0142,193.8,True
1.0,0.518964,0.0141,193.8,True
1.0,0.52209,0.0142,193.7,True
1.0,0.519612,0.0141,193.6,True
1.0,0.514552,0.014,193.5,True
1.0,0.510183,0.0139,193.5,True
1.0,0.510928,0.0139,193.4,True
0.5,0.329063,0.0179,193.3,True
0.5,0.340697,0.0185,193.3,True
0.5,0.345609,0.0188,193.2,True
0.5,0.352045,0.0191,193.1,True
0.5,0.348618,0.019,193.1,True
0.5,0.35525,0.0193,193.0,True
0.5,0,0.0,193.0,True
0.5,0.397821,0.0216,192.9,True
0.5,0.305306,0.0166,192.9,True
0.5,0.289994,0.0158,192.8,True
0.5,0.288204,0.0157,192.8,True
0.5,0.292963,0.0159,192.6,True
0.5,0.287889,0.0157,192.6,True
0.5,0.285986,0.0156,192.6,True
0.5,0.278346,0.0151,192.5,True
0.5,0.274408,0.0149,192.5,True
0.5,0.267219,0.0145,192.4,True
0.5,0.26148,0.0142,192.4,True
0.5,0.259722,0.0141,192.4,True
0.5,0.258629,0.0141,192.3,True
0.5,0.255014,0.0139,192.3,True
0.5,0.254122,0.0138,192.3,True
0.5,0.247895,0.0135,192.3,True
0.5,0.243861,0.0133,192.3,True
0.5,0.243516,0.0132,192.2,True
0.5,0.242677,0.0132,192.2,True
0.5,0.24336,0.0132,192.2,True
0.5,0.244831,0.0133,192.2,True
0.5,0.240571,0.0131,192.2,True
0.5,0.241412,0.0131,192.2,True
0.25,0.141248,0.0154,192.2,True
0.25,0.147019,0.016,192.2,True
0.25,0.144769,0.0157,192.2,True
0.25,0.14442,0.0157,192.2,True
0.25,0.151058,0.0164,192.2,True
0.25,0.162898,0.0177,192.2,True
0.25,0.163604,0.0178,192.3,True
0.25,0.165079,0.018,192.3,True
0.25,0.173165,0.0188,192.3,True
0.25,0.168827,0.0184,192.4,True
0.25,0.16353,0.0178,192.4,True
0.25,0.163233,0.0178,192.5,True
0.25,0.158313,0.0172,192.6,True
0.25,0.155838,0.017,192.6,True
0.25,0.155395,0.0169,192.7,True
0.25,0.15331,0.0167,192.8,True
0.25,0.150479,0.0164,192.9,True
0.25,0.156013,0.017,192.9,True
0.25,0.159715,0.0174,193.0,True
0.25,0.161742,0.0176,193.1,True
0.25,0.163626,0.0178,193.2,True
0.25,0.167041,0.0182,193.3,True
0.25,0.169372,0.0184,193.4,True
0.25,0.170953,0.0186,193.5,True
0.25,0.169496,0.0184,193.5,True
0.25,0.169875,0.0185,193.6,True
0.25,0.16621,0.0181,193.7,True
0.25,0.169315,0.0184,193.8,True
0.25,0.172666,0.0188,193.9,True
0.25,0.175887,0.0191,194.0,True
