Angeleger Strom I,Gemessende Spannung U [mV],spezifischer Wiederstand rho,Gemessende Temperatur [degC],Messdaten
1.0,0.443312,0.0121,235.6,False
1.0,0.440035,0.012,235.6,False
1.0,0.438529,0.0119,235.7,False
1.0,0.437154,0.0119,235.8,False
1.0,0.439003,0.0119,235.8,False
1.0,0.43962,0.012,235.8,False
1.0,0.437558,0.0119,235.9,False
1.0,0.437729,0.0119,235.9,False
1.0,0.434603,0.0118,236.0,False
1.0,0.438912,0.0119,236.0,False
1.0,0.434323,0.0118,236.1,False
1.0,0.434348,0.0118,236.1,False
1.0,0.432388,0.0118,236.1,False
1.0,0.432059,0.0117,236.2,False
1.0,0.429505,0.0117,236.2,True
1.0,0.427184,0.0116,236.2,True
1.0,0.430572,0.0117,236.3,True
1.0,0.430064,0.0117,236.3,True
1.0,0.434028,0.0118,236.3,True
1.0,0.431153,0.0117,236.3,True
1.0,0.43003,0.0117,236.3,True
1.0,0.431284,0.0117,236.3,True
1.0,0.433948,0.0118,236.3,True
1.0,0.435096,0.0118,236.3,True
1.0,0.437916,0.0119,236.3,True
1.0,0.438994,0.0119,236.3,True
1.0,0.438079,0.0119,236.3,True
1.0,0.436696,0.0119,236.3,True
1.0,0.438717,0.0119,236.3,True
1.0,0.439767,0.012,236.2,True
1.0,0.440279,0.012,236.2,True
1.0,0.442844,0.012,236.2,True
1.0,0.439003,0.0119,236.2,True
1.0,0.43899,0.0119,236.1,True
1.0,0.437603,0.0119,236.1,True
1.0,0.438157,0.0119,236.0,True
1.0,0.435581,0.0118,235.9,True
1.0,0.429911,0.0117,235.9,True
1.0,0.424249,0.0115,235.9,True
1.0,0.425341,0.0116,235.8,True
1.0,0.426594,0.0116,235.8,True
1.0,0.426381,0.0116,235.8,True
1.0,0.428377,0.0116,235.7,True
1.0,0.427122,0.0116,235.7,True
0.8,0.355729,0.0121,235.7,True
0.8,0.354747,0.0121,235.6,True
0.8,0.355446,0.0121,235.5,True
0.8,0.351655,0.012,235.5,True
0.8,0.354661,0.0121,235.4,True
0.8,0.358556,0.0122,235.4,True
0.8,0.358982,0.0122,235.3,True
0.8,0.363942,0.0124,235.3,True
0.8,0.367145,0.0125,235.2,True
0.8,0.3681,0.0125,235.1,True
0.8,0.373293,0.0127,235.1,True
0.8,0.372621,0.0127,235.0,True
0.8,0.378694,0.0129,235.0,True
0.8,0.375583,0.0128,234.9,True
0.8,0.373986,0.0127,234.8,True
0.8,0.374117,0.0127,234.8,True
0.8,0.373045,0.0127,234.7,True
0.8,0.381568,0.013,234.7,True
0.8,0.385948,0.0131,234.5,True
0.8,0.387604,0.0132,234.5,True
0.8,0.388612,0.0132,234.4,True
0.8,0.389809,0.0132,234.4,True
0.8,0.391936,0.0133,234.3,True
0.8,0.394722,0.0134,234.3,True
0.8,0.391794,0.0133,234.2,True
0.8,0.387389,0.0132,234.2,True
0.8,0.383084,0.013,234.1,True
0.8,0.384262,0.0131,234.1,True
0.8,0.382226,0.013,234.1,True
0.8,0.381181,0.013,234.0,True
0.6,0.310101,0.0141,234.0,True
0.6,0.309308,0.014,234.0,True
0.6,0.307428,0.0139,234.0,True
0.6,0.304335,0.0138,233.9,True
0.6,0.308851,0.014,233.9,True
0.6,0.311606,0.0141,233.9,True
0.6,0.316894,0.0144,233.9,True
0.6,0.319748,0.0145,233.9,True
0.6,0.317953,0.0144,233.8,True
0.6,0.313318,0.0142,233.8,True
0.6,0.312507,0.0142,233.8,True
0.6,0.313765,0.0142,233.8,True
0.6,0.313948,0.0142,233.8,True
0.6,0.309418,0.014,233.8,True
0.6,0.307008,0.0139,233.8,True
0.6,0.304324,0.0138,233.8,True
0.6,0.304417,0.0138,233.8,True
0.6,0.310603,0.0141,233.9,True
0.6,0.31549,0.0143,233.9,True
0.6,0.307344,0.0139,234.0,True
0.6,0.304789,0.0138,234.0,True
0.6,0.306652,0.0139,234.0,True
0.6,0.306102,0.0139,234.1,True
0.6,0.306529,0.0139,234.1,True
0.6,0.31467,0.0143,234.2,True
0.6,0.321573,0.0146,234.2,True
0.6,0.32386,0.0147,234.3,True
0.6,0.323174,0.0146,234.3,True
0.6,0.321701,0.0146,234.4,True
0.6,0.320529,0.0145,234.5,True
0.6,0.320521,0.0145,234.6,True
0.6,0.317479,0.0144,234.7,True
0.6,0.319369,0.0145,234.8,True
0.6,0.322146,0.0146,234.8,True
0.6,0.326656,0.0148,234.9,True
0.6,0.329224,0.0149,235.0,True
0.6,0.329117,0.0149,235.0,True
0.6,0.320681,0.0145,235.1,True
0.6,0.320046,0.0145,235.2,True
0.6,0.31846,0.0144,235.3,True
0.6,0.315078,0.0143,235.3,True
0.6,0.314726,0.0143,235.5,True
0.6,0.314278,0.0142,235.5,True
0.6,0.315032,0.0143,235.6,True
0.6,0.311695,0.0141,235.7,True
0.6,0.311099,0.0141,235.8,True
