Angeleger Strom I,Gemessende Spannung U [mV],spezifischer Wiederstand rho,Gemessende Temperatur [degC],Messdaten
1.0,0.440472,0.012,278.2,False
1.0,0.434835,0.0118,278.2,False
1.0,0.429832,0.0117,278.2,False
1.0,0.426741,0.0116,278.2,False
1.0,0.426136,0.0116,278.2,False
1.0,0.41684,0.0113,278.2,False
1.0,0.419118,0.0114,278.2,False
1.0,0.418741,0.0114,278.2,False
1.0,0.412537,0.0112,278.2,False
1.0,0.410211,0.0112,278.2,False
1.0,0.40954,0.0111,278.3,False
1.0,0.405552,0.011,278.3,False
1.0,0.394887,0.0107,278.3,False
1.0,0.386756,0.0105,278.3,False
1.0,0.376371,0.0102,278.3,True
1.0,0.380566,0.0103,278.4,True
1.0,0.387498,0.0105,278.4,True
1.0,0.383749,0.0104,278.4,True
1.0,0.382729,0.0104,278.5,True
1.0,0.389829,0.0106,278.5,True
1.0,0.396373,0.0108,278.6,True
1.0,0.395641,0.0108,278.6,True
1.0,0.397175,0.0108,278.6,True
1.0,0.390069,0.0106,278.6,True
1.0,0.379255,0.0103,278.7,True
1.0,0.372465,0.0101,278.7,True
1.0,0.36801,0.01,278.7,True
1.0,0.368836,0.01,278.8,True
1.0,0.36486,0.0099,278.8,True
1.0,0.366533,0.01,278.8,True
1.0,0.362516,0.0099,278.8,True
1.0,0.361001,0.0098,278.9,True
1.0,0.357772,0.0097,278.9,True
1.0,0.3637,0.0099,278.9,True
1.0,0.371078,0.0101,278.9,True
1.0,0.375908,0.0102,278.9,True
1.0,0.382049,0.0104,278.9,True
1.0,0.383103,0.0104,278.9,True
1.0,0.383377,0.0104,278.9,True
1.0,0.381027,0.0104,278.9,True
1.0,0.381557,0.0104,278.9,True
1.0,0.376742,0.0102,278.9,True
1.0,0.381324,0.0104,278.9,True
1.0,0.387504,0.0105,278.8,True
0.8,0.322932,0.011,278.8,True
0.8,0.324676,0.011,278.8,True
0.8,0.326598,0.0111,278.8,True
0.8,0.330027,0.0112,278.8,True
0.8,0.336306,0.0114,278.7,True
0.8,0.332038,0.0113,278.7,True
0.8,0.340047,0.0116,278.6,True
0.8,0.352445,0.012,278.6,True
0.8,0.356028,0.0121,278.6,True
0.8,0.350706,0.0119,278.5,True
0.8,0.352372,0.012,278.5,True
0.8,0.35627,0.0121,278.5,True
0.8,0.353236,0.012,278.4,True
0.8,0.351213,0.0119,278.4,True
0.8,0.357905,0.0122,278.4,True
0.8,0.364359,0.0124,278.3,True
0.8,0.365014,0.0124,278.3,True
0.8,0.363205,0.0123,278.3,True
0.8,0.378025,0.0128,278.3,True
0.8,0.376503,0.0128,278.3,True
0.8,0.386591,0.0131,278.3,True
0.8,0.392168,0.0133,278.3,True
0.8,0.385843,0.0131,278.3,True
0.8,0.386798,0.0131,278.3,True
0.8,0.379286,0.0129,278.3,True
0.8,0.386512,0.0131,278.3,True
0.8,0.387113,0.0132,278.3,True
0.8,0.383997,0.0131,278.3,True
0.8,0.381875,0.013,278.3,True
0.8,0.382388,0.013,278.3,True
0.6,0.31538,0.0143,278.4,True
0.6,0.304265,0.0138,278.4,True
0.6,0.312995,0.0142,278.4,True
0.6,0.322299,0.0146,278.5,True
0.6,0.335407,0.0152,278.5,True
0.6,0.344047,0.0156,278.6,True
0.6,0.347681,0.0158,278.6,True
0.6,0.347551,0.0158,278.7,True
0.6,0.356209,0.0161,278.7,True
0.6,0.359812,0.0163,278.7,True
0.6,0.354107,0.016,278.8,True
0.6,0.347723,0.0158,278.8,True
0.6,0.341973,0.0155,278.9,True
0.6,0.338033,0.0153,278.9,True
0.6,0.332635,0.0151,278.9,True
0.6,0.321253,0.0146,278.9,True
0.6,0.31308,0.0142,279.0,True
0.6,0.316157,0.0143,279.0,True
0.6,0.317439,0.0144,279.0,True
0.6,0.313685,0.0142,279.0,True
0.6,0.309415,0.014,279.0,True
0.6,0.30748,0.0139,279.0,True
0.6,0.30409,0.0138,279.1,True
0.6,0.30066,0.0136,279.1,True
0.6,0.295361,0.0134,279.1,True
0.6,0.297623,0.0135,279.1,True
0.6,0.301459,0.0137,279.1,True
0.6,0.301114,0.0136,279.1,True
0.6,0.297965,0.0135,279.1,True
0.6,0.300018,0.0136,279.0,True
