T_soll [degC],T_ist_avg [degC],T_ist_std [degC],I [A],U_avg [mV],U_std [mV]
300.0,278.726667,0.187853,1.0,0.378287,0.010591
300.0,278.453333,0.185712,0.8,0.361416,0.021464
300.0,278.846667,0.234852,0.6,0.321897,0.020043
