Angeleger Strom I,Gemessende Spannung U [mV],spezifischer Wiederstand rho,Gemessende Temperatur [degC],Messdaten
1.0,0.31063,0.0084,154.7,False
1.0,0.30977,0.0084,154.7,False
1.0,0.309307,0.0084,154.6,False
1.0,0.310511,0.0084,154.6,False
1.0,0.308828,0.0084,154.6,False
1.0,0.308949,0.0084,154.6,False
1.0,0.309462,0.0084,154.6,False
1.0,0.308109,0.0084,154.6,False
1.0,0.306489,0.0083,154.6,False
1.0,0.306356,0.0083,154.6,False
1.0,0.305409,0.0083,154.6,False
1.0,0.306021,0.0083,154.6,False
1.0,0.306177,0.0083,154.6,False
1.0,0.304837,0.0083,154.6,False
1.0,0.303733,0.0083,154.7,True
1.0,0.30303,0.0082,154.7,True
1.0,0.301918,0.0082,154.7,True
1.0,0.299728,0.0082,154.7,True
1.0,0.297455,0.0081,154.8,True
1.0,0.295806,0.008,154.8,True
1.0,0.293706,0.008,154.8,True
1.0,0.293999,0.008,154.9,True
1.0,0.291741,0.0079,154.9,True
1.0,0.290269,0.0079,154.9,True
1.0,0.288893,0.0079,155.0,True
1.0,0.289142,0.0079,155.0,True
1.0,0.287093,0.0078,155.1,True
1.0,0.286155,0.0078,155.1,True
1.0,0.287451,0.0078,155.1,True
1.0,0.286935,0.0078,155.2,True
1.0,0.286061,0.0078,155.2,True
1.0,0.285439,0.0078,155.2,True
1.0,0.283387,0.0077,155.3,True
1.0,0.284383,0.0077,155.3,True
1.0,0.284312,0.0077,155.3,True
1.0,0.282784,0.0077,155.3,True
1.0,0.282766,0.0077,155.3,True
1.0,0.28247,0.0077,155.4,True
1.0,0.282418,0.0077,155.4,True
1.0,0.281463,0.0077,155.4,True
1.0,0.282222,0.0077,155.4,True
1.0,0.281171,0.0076,155.4,True
1.0,0.282121,0.0077,155.5,True
1.0,0.282895,0.0077,155.5,True
0.8,0.234641,0.008,155.5,True
0.8,0.235839,0.008,155.5,True
0.8,0.23727,0.0081,155.5,True
0.8,0.236111,0.008,155.5,True
0.8,0.237141,0.0081,155.5,True
0.8,0.236663,0.008,155.5,True
0.8,0.237924,0.0081,155.5,True
0.8,0.236922,0.0081,155.5,True
0.8,0.235439,0.008,155.5,True
0.8,0.236221,0.008,155.5,True
0.8,0.236121,0.008,155.5,True
0.8,0.235891,0.008,155.5,True
0.8,0.236534,0.008,155.4,True
0.8,0.238,0.0081,155.4,True
0.8,0.236172,0.008,155.4,True
0.8,0.235407,0.008,155.4,True
0.8,0.234426,0.008,155.4,True
0.8,0.235527,0.008,155.3,True
0.8,0.236542,0.008,155.3,True
0.8,0.234811,0.008,155.3,True
0.8,0.234662,0.008,155.3,True
0.8,0.235215,0.008,155.2,True
0.8,0.236061,0.008,155.2,True
0.8,0.235799,0.008,155.1,True
0.8,0.236146,0.008,155.1,True
0.8,0.236237,0.008,155.0,True
0.8,0.237027,0.0081,155.0,True
0.8,0.238722,0.0081,155.0,True
0.8,0.238356,0.0081,154.9,True
0.8,0.236873,0.0081,154.9,True
0.6,0.188969,0.0086,154.8,True
0.6,0.190587,0.0086,154.8,True
0.6,0.192811,0.0087,154.7,True
0.6,0.193999,0.0088,154.7,True
0.6,0.194621,0.0088,154.6,True
0.6,0.195114,0.0088,154.6,True
0.6,0.196164,0.0089,154.5,True
0.6,0.195041,0.0088,154.5,True
0.6,0.194694,0.0088,154.4,True
0.6,0.195327,0.0089,154.3,True
0.6,0.196536,0.0089,154.3,True
0.6,0.195031,0.0088,154.2,True
0.6,0.195819,0.0089,154.1,True
0.6,0.195779,0.0089,154.1,True
0.6,0.195121,0.0088,154.0,True
0.6,0.193584,0.0088,154.0,True
0.6,0.194479,0.0088,153.9,True
0.6,0.195492,0.0089,153.8,True
0.6,0.195782,0.0089,153.8,True
0.6,0.193717,0.0088,153.7,True
0.6,0.193232,0.0088,153.6,True
0.6,0.19385,0.0088,153.6,True
0.6,0.196536,0.0089,153.5,True
0.6,0.197504,0.009,153.5,True
0.6,0.198127,0.009,153.4,True
0.6,0.197527,0.009,153.4,True
0.6,0.200044,0.0091,153.3,True
0.6,0.20089,0.0091,153.2,True
0.6,0.199818,0.0091,153.1,True
0.6,0.199443,0.009,153.1,True
