T_soll [degC],T_ist_avg [degC],T_ist_std [degC],I [A],U_avg [mV],U_std [mV]
150.0,155.11,0.261215,1.0,0.288698,0.006816
150.0,155.32,0.200666,0.8,0.23629,0.001065
150.0,153.983333,0.52731,0.6,0.195521,0.002556
