Angeleger Strom I,Gemessende Spannung U [mV],spezifischer Wiederstand rho,Gemessende Temperatur [degC],Messdaten
1.0,0.346176,0.0094,275.6,False
1.0,0.345599,0.0094,275.6,False
1.0,0.34533,0.0094,275.6,False
1.0,0.34941,0.0095,275.5,False
1.0,0.347215,0.0094,275.5,False
1.0,0.347869,0.0095,275.5,False
1.0,0.345015,0.0094,275.5,False
1.0,0.341926,0.0093,275.5,False
1.0,0.337222,0.0092,275.5,False
1.0,0.332323,0.009,275.5,False
1.0,0.330238,0.009,275.5,False
1.0,0.331117,0.009,275.5,False
1.0,0.332374,0.009,275.5,False
1.0,0.328297,0.0089,275.5,False
1.0,0.328575,0.0089,275.6,True
1.0,0.325929,0.0089,275.6,True
1.0,0.326693,0.0089,275.7,True
1.0,0.327389,0.0089,275.7,True
1.0,0.328597,0.0089,275.8,True
1.0,0.329807,0.009,275.9,True
1.0,0.32486,0.0088,276.0,True
1.0,0.323443,0.0088,276.1,True
1.0,0.316443,0.0086,276.2,True
1.0,0.320617,0.0087,276.3,True
1.0,0.325837,0.0089,276.4,True
1.0,0.330541,0.009,276.5,True
1.0,0.332923,0.0091,276.6,True
1.0,0.340079,0.0092,276.7,True
1.0,0.338363,0.0092,276.7,True
1.0,0.343591,0.0093,276.9,True
1.0,0.341983,0.0093,276.9,True
1.0,0.342991,0.0093,277.0,True
1.0,0.350768,0.0095,277.1,True
1.0,0.353237,0.0096,277.1,True
1.0,0.351865,0.0096,277.2,True
1.0,0.349373,0.0095,277.3,True
1.0,0.349052,0.0095,277.3,True
1.0,0.348894,0.0095,277.4,True
1.0,0.34694,0.0094,277.5,True
1.0,0.345608,0.0094,277.5,True
1.0,0.343745,0.0093,277.6,True
1.0,0.337781,0.0092,277.6,True
1.0,0.344312,0.0094,277.7,True
1.0,0.350325,0.0095,277.7,True
0.8,0.305876,0.0104,277.7,True
0.8,0.30839,0.0105,277.8,True
0.8,0.308491,0.0105,277.8,True
0.8,0.30367,0.0103,277.8,True
0.8,0.298919,0.0102,277.8,True
0.8,0.297251,0.0101,277.8,True
0.8,0.295686,0.0101,277.9,True
0.8,0.291961,0.0099,277.9,True
0.8,0.292499,0.0099,277.9,True
0.8,0.288188,0.0098,277.9,True
0.8,0.292012,0.0099,277.9,True
0.8,0.291957,0.0099,277.9,True
0.8,0.291855,0.0099,277.9,True
0.8,0.292334,0.0099,277.9,True
0.8,0.290281,0.0099,277.9,True
0.8,0.286907,0.0098,277.8,True
0.8,0.288361,0.0098,277.8,True
0.8,0.2887,0.0098,277.8,True
0.8,0.290497,0.0099,277.8,True
0.8,0.295072,0.01,277.7,True
0.8,0.294813,0.01,277.7,True
0.8,0.293836,0.01,277.7,True
0.8,0.297592,0.0101,277.6,True
0.8,0.299097,0.0102,277.6,True
0.8,0.295656,0.01,277.6,True
0.8,0.293291,0.01,277.6,True
0.8,0.297865,0.0101,277.6,True
0.8,0.289124,0.0098,277.6,True
0.8,0.292532,0.0099,277.6,True
0.8,0.295561,0.01,277.6,True
0.6,0.250935,0.0114,277.6,True
0.6,0.254423,0.0115,277.6,True
0.6,0.252156,0.0114,277.6,True
0.6,0.249235,0.0113,277.7,True
0.6,0.248706,0.0113,277.7,True
0.6,0.245862,0.0111,277.8,True
0.6,0.244342,0.0111,277.8,True
0.6,0.248325,0.0113,277.9,True
0.6,0.247097,0.0112,278.0,True
0.6,0.245289,0.0111,278.0,True
0.6,0.242674,0.011,278.1,True
0.6,0.242916,0.011,278.2,True
0.6,0.243125,0.011,278.2,True
0.6,0.246106,0.0112,278.3,True
0.6,0.250643,0.0114,278.4,True
0.6,0.248591,0.0113,278.5,True
0.6,0.252886,0.0115,278.6,True
0.6,0.260255,0.0118,278.7,True
0.6,0.264485,0.012,278.7,True
0.6,0.270553,0.0123,278.8,True
0.6,0.273067,0.0124,278.9,True
0.6,0.273506,0.0124,278.9,True
0.6,0.27462,0.0124,279.0,True
0.6,0.271103,0.0123,279.1,True
0.6,0.274377,0.0124,279.2,True
0.6,0.275273,0.0125,279.2,True
0.6,0.276319,0.0125,279.3,True
0.6,0.27199,0.0123,279.4,True
0.6,0.272175,0.0123,279.4,True
0.6,0.27417,0.0124,279.4,True
